id,clock,core,thread,is_L2,L2,is_L3,L3,is_smart_cache,smart_cache,SP,m_cap,m_bus,m_clock,capacity,generation,rpm(0)/read(1),cache(0)/write(1),score
142902,2.4,4.0,4.0,1.0,8000.0,0.0,0.0,0.0,0.0,24.0,1024.0,128.0,1580.0,8.192,2.0,7200.0,8000.0,152153.0
142920,2.4,2.0,2.0,1.0,4000.0,0.0,0.0,0.0,0.0,17.0,256.0,128.0,1400.0,3.327,2.0,7200.0,16000.0,86779.0
142928,3.0,4.0,4.0,1.0,12000.0,0.0,0.0,0.0,0.0,192.0,1024.0,128.0,3608.0,8.192,2.0,7200.0,8000.0,203923.0
142930,2.66,4.0,8.0,0.0,0.0,0.0,0.0,1.0,8000.0,128.0,768.0,384.0,2160.0,3.327,1.0,7200.0,16000.0,189564.0
142943,3.4,4.0,8.0,0.0,0.0,0.0,0.0,1.0,8000.0,512.0,1024.0,128.0,4500.0,8.175,3.0,7200.0,64000.0,280327.0
142978,1.9,2.0,2.0,1.0,1000.0,0.0,0.0,0.0,0.0,7.0,128.0,128.0,550.0,1.9769999999999999,3.0,5400.0,8000.0,63117.0
142984,3.2,4.0,8.0,0.0,0.0,0.0,0.0,1.0,8000.0,800.0,1024.0,128.0,4800.0,12.28,3.0,7200.0,16000.0,301844.0
142986,3.0,2.0,2.0,1.0,4000.0,0.0,0.0,0.0,0.0,384.0,1024.0,256.0,4008.0,3.583,2.0,7200.0,16000.0,121092.0
143006,1.3,1.0,1.0,1.0,1000.0,0.0,0.0,0.0,0.0,6.0,64.0,128.0,500.0,1.151,1.0,4200.0,2000.0,76317.0
143036,3.0,2.0,2.0,1.0,6000.0,0.0,0.0,0.0,0.0,112.0,512.0,256.0,1800.0,3.583,2.0,7200.0,16000.0,138402.0
143038,2.33,2.0,2.0,1.0,4000.0,0.0,0.0,0.0,0.0,16.0,512.0,64.0,1000.0,2.8139999999999996,2.0,7200.0,16000.0,91089.0
143052,3.4,4.0,4.0,0.0,0.0,0.0,0.0,1.0,6000.0,960.0,2048.0,192.0,6008.0,16.328,3.0,7200.0,32000.0,346986.0
