name,clock,max_clock,core,thread,L2,L3,smart_cache
mobile AMD Athlon(tm) XP 1500+,,,,,,,
Celeron(R) Dual-Core CPU T3000 @ 1.80GHz,1.8,,2,2,1000.0,,
AMD Athlon(tm) MP,,,,,,,
Intel(R) Pentium(R) M processor 1300MHz,1.6,,1,1,1000.0,,
Intel(R) Xeon(R) CPU E3-1231 v3 @ 3.40GHz,3.4,3.8,4,8,,,8000.0
Intel(R) Core(TM)2 CPU E8500 @ 3.16GHz,3.16,,2,2,6000.0,,
Intel(R) Pentium(R) 4 CPU 3.46GHz,3.0,,1,2,1000.0,,
Intel(R) Pentium(R) M CPU 2?0 @ 1.50GHz,1.5,,1,1,1000.0,,
AMD A6-3500 APU with Radeon(tm) HD Graphics,,,,,,,
AMD A6 Micro-6500T APU + AMD Radeon R4 Graphics,,,,,,,
Intel(R) Xeon(R) CPU W5590 @ 3.33GHz,3.33,3.6,4,8,,,8000.0
Pentium(R) Dual-Core CPU E5400 @ 2.70GHz,2.7,,2,2,2000.0,,
AMD Turion(tm) 64 Mobile Technology MT-32,,,,,,,
Intel(R) Pentium(R) 4 CPU 2.20GHz,2.2,,1,1,512.0,,
Intel(R) Pentium(R) III CPU 1333MHz,1.4,,1,1,512.0,,
Intel(R) Pentium(R) III Mobile CPU 1000MHz,1.0,,1,1,256.0,,
Intel(R) Core(TM) i7-7800X CPU @ 3.50GHz,3.5,4.0,6,12,,8250.0,
Mobile Celeron (Dixon-128K) ,0.3,,1,1,128.0,,
AMD Turion(tm) 64 X2,,,,,,,
AMD-K7(tm) Processor,3.4,3.8,8.0,16.0,4000.0,16000.0,0
Intel(R) Xeon(R) CPU X3450 @ 2.67GHz,2.66,3.2,4,8,,,8000.0
AMD Sempron(TM) 3000+,1.8,,1,,128.0,,0
Intel(R) Core(TM) Duo CPU T2300 @ 1.66GHz,1.66,,2,2,2000.0,,
mobile AMD Athlon(tm) 64 Processor 3000+,,,,,,,
Intel(R) Atom(TM) CPU Z3770 @ 1.46GHz,1.46,,4,4,2000.0,,
Celeron (Northwood-128K) ,2.0,,1,1,128.0,,
AMD A8-3820 APU with Radeon(tm) HD Graphics,,,,,,,
AMD Turion(tm) 64 Mobile Technology MK-38,,,,,,,
AMD Athlon(tm) Processor LE-1660,,,,,,,
AMD Athlon(tm) MP 2200+,,,,,,,
Intel(R) Core(TM) i3-2100 CPU @ 3.10GHz,3.1,,2,4,,,3000.0
AMD Athlon(tm) pros}ssor,,,,,,,
Intel(R) Core(TM) i5 CPU 680 @ 3.60GHz,3.6,3.86,2,4,,,4000.0
Mobile AMD Athlon(tm) 64 Processor 2800+,,,,,,,
AMD Mobile Athlon XP-M2600+ (Tbred),,,,,,,
AMD Sempron(tm),,,,,,,
AMD Athlon(tm) X2 Dual-Core QL-62,,,,,,,
Enter here. Up to 48 characters.,,,,,,,
AMD Sempron(tm) Processor 2500+,,,,,,,
Unknown CPU Typ,,,,,,,
Intel(R) Core(TM) i5 CPU M 450 @ 2.40GHz,2.4,2.66,2,4,,,3000.0
Genuine Intel(R) CPU @ 2.00GHz,2.0,,1,1,1000.0,,
Intel(R) Core(TM) i5 CPU M 560 @ 2.67GHz,2.66,3.2,2,4,,,3000.0
AMD Phenom(tm) 9150e Quad-Core Processor,,,,,,,
mobile AMD Athlon(tm) XP2400+,,,,,,,
Intel(R) Core(TM) i7-4810MQ CPU @ 2.80GHz,2.8,3.8,4,8,,,6000.0
Intel(R) Core(TM) i5-6500T CPU @ 2.50GHz,2.5,3.1,4,4,,,6000.0
AMD Athlon(tm) 2600+,3.4,3.9,6.0,12.0,3000.0,16000.0,0
AMD Athlon(tm) 64 X2 Dual-Core Processor TK-55,,,,,,,
Intel(R) Celeron(R) M processor 800MHz,0.8,,1,1,512.0,,
AMD Athlon(tm) II X2 220 Processor,3.0,,2,,,,0
Intel(R) Pentium(R) CPU G6950 @ 2.80GHz,2.8,,2,2,,,3000.0
Intel(R) Xeon(R) CPU X5650 @ 2.67GHz,2.66,3.06,6,12,,,12000.0
AMD Athlon(tm) II X2 265 Processor,3.3,,2,,2000.0,,0
Genuine Intel(R) CPU T2400 @ 1.83GHz,1.83,,2,2,2000.0,,
Mobile AMD Sempron(tm) Processor 3100+,,,,,,,
AMD Athlon(tm)64 X2 Dual Core Processor 4800+,,,,,,,
AMD Ryzen 5 1600X Six-Core Processor ,3.6,4.0,6.0,12.0,3000.0,16000.0,0
AMD Athlon(tm) 64 X2 Dual Core Processor 4000+,,,,,,,
Mobile Intel(R) Celeron(R) CPU 1.60GHz,1.6,,2,2,,,2000.0
Intel(R) Pentium(R) 4 CPU 2.40GHz,2.4,,1,1,512.0,,
Intel(R) Celeron(R) CPU 2.66GHz,2.66,,1,1,256.0,,
Intel(R) Celeron(R) CPU 220 @ 1.20GHz,1.2,,1,1,512.0,,
Intel(R) Core(TM) i5-6500 CPU @ 3.20GHz,3.2,3.6,4,4,,,6000.0
AMD Athlon(tm) 64 Processor 3400+,,,,,,,
Core 2 Quad Q9505(Yorkfield) ,2.83,,4,4,6000.0,,
Intel(R) Xeon(TM) CPU 3.06GHz,3.06,,1,2,512.0,,
Intel(R) Pentium(R) M processor 2.13GHz,2.13,,2,2,,,3000.0
Mobile Intel(R) Pentium(R) 4 - M CPU 2.40GHz,2.0,,1,1,512.0,,
Intel(R) Core(TM)2 Quad CPU Q9300 @ 2.50GHz,2.5,,4,4,6000.0,,
Intel(R) Celeron(R) CPU 2.30GHz,2.3,,1,1,1000.0,,
AMD Sempron(tm) Processor 3500+,,,,,,,
Intel(R) Pentium(R) M processor 900MHz,1.6,,1,1,1000.0,,
Genuine Intel(R) CPU 230 @ 1.60GHz,1.6,,1,2,512.0,,
Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,3.0,3.5,12,24,,,30000.0
AMD E-450 APU with Radeon(tm) HD Graphics,,,,,,,
AMD Athlon(tm) II X2 250 Processor,3.0,,2,,,,0
Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,2.2,2.7,2,4,,3000.0,
Intel(R) Celeron(R) CPU G3900 @ 2.80GHz,2.8,,2,2,,,2000.0
Intel(R) Pentium(R) CPU T4200 @ 2.00GHz,2.0,,2,2,1000.0,,
AMD Athlon(tm)64 X2 Dual Core Processor 3800+,,,,,,,
Intel(R) Core(TM) i7 CPU 920 @ 2.67GHz,2.66,2.93,4,8,,,8000.0
Intel(R) Celeron(R) CPU 450 @ 2.20GHz,2.2,,1,1,512.0,,
Intel(R) Core(TM) i5 CPU 760 @ 2.80GHz,2.8,3.33,4,4,,,8000.0
Intel(R) Core(TM)2 Duo CPU E7300 @ 2.66GHz,2.66,,2,2,3000.0,,
Intel(R) Xeon(R) CPU E5450 @ 3.00GHz,3.0,,4,4,12000.0,,
Pentium III (Coppermine) GW ,0.6,,1,1,256.0,,
AMD Athlon(tm) II P360 Dual-Core Processor,,,,,,,
Intel(R) Core(TM) i7 CPU X 000 @ 3.47GHz,3.4,3.9,4,8,,,8000.0
Quad-Core AMD Opteron(tm) Processor 2350,,,,,,,
AMD Sempron(tm) 3300+,,,,,,,
Mobile Intel(R) Celeron(TM) CPU 1066MHz,2.13,,1,1,1000.0,,
AMD Athlon(tm) prosussor,,,,,,,
Intel(R) Core(TM)2 Duo CPU E6850 @ 3.00GHz,3.0,,2,2,4000.0,,
Intel(R) Celeron(R) CPU G1620 @ 2.70GHz,2.7,,2,2,,,2000.0
Intel(R) Core(TM)2 Duo CPU E7500 @ 2.93GHz,2.93,,2,2,3000.0,,
AMD Turion(tm) 64 Mobile Technology ML-30,,,,,,,
Intel(R) Core(TM)2 Quad CPU Q9650 @ 3.00GHz,3.0,,4,4,12000.0,,
Intel(R) Xeon(TM) CPU 1.80GHz,2.8,,1,2,512.0,,
Intel(R) Xeon(R) CPU E5-2650 v2 @ 2.60GHz,2.6,3.4,8,16,,,20000.0
Intel(R) Celeron(R) CPU J1900 @ 1.99GHz,2.0,,4,4,2000.0,,
Intel(R) Core(TM) i7-2620M CPU @ 2.70GHz,2.7,3.4,2,4,,,4000.0
Genuine Intel(R) CPU L2400 @ 1.66GHz,1.66,,2,2,2000.0,,
Intel(R) Celeron(R) M CPU 420 @ 1.60GHz,1.6,,1,1,1000.0,,
AMD A8-3530MX APU with Radeon(tm) HD Graphics,,,,,,,
Intel(R) Xeon(TM) MP CPU 3.33GHz,3.33,,1,1,8000.0,,
Intel(R) Core(TM) i7 CPU 880 @ 3.07GHz,3.06,3.33,4,8,,,8000.0
Intel(R) Core(TM) i3-3220T CPU @ 2.80GHz,2.8,,2,4,,,3000.0
Genuine Intel(R) CPU @ 1.40GHz,,,,,,,
Intel(R) Pentium(R) M processor 2.00GHz,2.0,,2,2,,2000.0,
Intel(R) Xeon(R) CPU X5450 @ 3.00GHz,3.0,,4,4,12000.0,,
Intel(R) Celeron(R) M processor 1400MHz,1.4,,1,1,1000.0,,
Intel(R) Core(TM)2 Duo CPU E8600 @ 3.33GHz,3.33,,2,2,6000.0,,
Intel(R) Core(TM)2 Duo CPU L7800 @ 2.00GHz,2.0,,2,2,2000.0,,
AMD Phenom(tm) II N950 Quad-Core Processor,,,,,,,
Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,2.3,3.6,18,36,,,45000.0
Mobile AMD Sempron(tm) Processor 2600+,,,,,,,
AMD Athlon(TM) XP 2200+,,,1,,,,0
Celeron (Coppermine-128K) ,0.633,,1,1,128.0,,
Intel(R) Atom(TM) CPU Z500 @ 800MHz,0.8,,1,2,512.0,,
Intel(R) Celeron(R) M CPU 443 @ 1.20GHz,1.2,,1,1,256.0,,
Intel(R) Core(TM) i5-2557M CPU @ 1.70GHz,1.7,2.7,2,4,,3000.0,
Intel(R) Pentium(R) D CPU 6.00GHz,2.0,,2,2,,2000.0,
AMD Athlon(tm) 64 Processor 3600+,,,,,,,
mobile AMD Sempron(tm) Processor 2600+,,,,,,,
Intel(R) Core(TM)2 CPU L7400 @ 1.50GHz,1.86,,2,2,2000.0,,
Intel(R) Xeon(TM) CPU 1.60GHz,1.6,,2,2,4000.0,,
Intel(R) Pentium(R) Dual CPU T2390 @ 1.86GHz,1.86,,2,2,1000.0,,
Intel(R) Celeron(R) CPU 420 @ 1.60GHz,1.6,,1,1,512.0,,
Intel(R) Core(TM)2 Duo CPU E4700 @ 2.60GHz,2.6,,2,2,2000.0,,
Genuine Intel(R) CPU 3.60GHz,1.6,,2,2,1000.0,,
Intel(R) Core(TM)2 Duo CPU E8135 @ 2.40GHz,2.4,,2,2,3000.0,,
VIA Esther processor 1500MHz,,,,,,,
AMD Turion(tm) II Ultra Dual-Core Mobile M640,,,,,,,
Intel(R) Core(TM) i5-6400T CPU @ 2.20GHz,2.2,2.8,4,4,,,6000.0
Intel(R) Xeon(R) CPU E5462 @ 2.80GHz,2.8,,4,4,12000.0,,
Intel(R) Xeon(TM) CPU 3.00GHz,3.0,,1,1,,2000.0,
AMD Athlon(TM) MP 2300+,,,,,,,
mobile AMD Sempron(tm) Processor 3100+,,,,,,,
Intel(R) Core(TM)2 Duo CPU P7500 @ 1.60GHz,1.6,,2,2,4000.0,,
Intel(R) Core(TM) i3-7100H CPU @ 3.00GHz,3.0,,2,4,,3000.0,
Pentium III Xeon (Cascades) ,0.7,,1,1,1000.0,,
Mobile AMD Athlon 64 Processor 3000+,,,,,,,
Intel(R) Core(TM) i7-3630QM CPU @ 2.40GHz,2.4,3.4,4,8,,,6000.0
Genuine Intel(R) CPU 575 @ 2.00GHz,2.0,,1,1,1000.0,,
Intel(R) Pentium(R) 4 CPU 2.26GHz,2.4,,1,1,512.0,,
AMD Athlon(tm) 64 Processor 3800+,,,,,,,
Pentium ,,,,,,,
AMD Turion(tm) 64 Mobile Technology ML-34,,,,,,,
AMD Athlon(tm) 64 X2 Dual Core Processor BE-2400,,,,,,,
Intel(R) Core(TM) i5-6267U CPU @ 2.90GHz,2.9,3.3,2,4,,,4000.0
mobile AMD Athlon(tm) XP 1800+,,,,,,,
Intel(R) Core(TM)2 Quad CPU Q9000 @ 2.00GHz,2.0,,4,4,6000.0,,
Intel(R) Pentium(R) III CPU - S 1133MHz,1.4,,1,1,512.0,,
Intel(R) Pentium(R) 4 CPU 1.90GHz,1.9,,2,4,,2000.0,
Intel(R) Xeon(TM) CPU 3.73GHz,3.73,,2,4,4000.0,,
AMD Phenom(tm) 9850 Quad-Core Processor,,,,,,,
Intel(R) Core(TM) i3-2350M CPU @ 2.30GHz,2.3,,2,4,,,3000.0
mobile AMD Athlon(tm) XP-M,,,,,,,
Dual Core AMD Opteron(tm) Processor 285,,,,,,,
Intel(R) Celeron(R) M processor 1.40GHz,1.4,,1,1,1000.0,,
AMD Athlon(tm),3.0,,2,,,,0
AMD Athlon(tm) II X2 260 Processor,3.2,,2,,2000.0,,0
Intel(R) Core(TM) i7-3740QM CPU @ 2.70GHz,2.7,3.7,4,8,,,6000.0
AMD A4-4000 APU with Radeon(tm) HD Graphics ,,,,,,,
Intel(R) Celeron(R) CPU B815 @ 1.60GHz,1.6,,2,2,,2000.0,
AMD A4-7300 APU with Radeon HD Graphics ,,,,,,,
mobile AMD Athlon(tm) XP 2700+,,,,,,,
AMD Opteron(tm) Processor 252,,,,,,,
Intel(R) Pentium(R) CPU N3530 @ 2.16GHz,2.16,,4,4,,2000.0,
AMD Phenom(tm) II X2 555 Processor,,,,,,,
AMD Athlon(tm) X4 845 Quad Core Processor ,3.7,4.0,4.0,4.0,4000.0,,0
2 x Pentium (P54C) ,,,,,,,
Genuine Intel(R) CPU @ 0000 @ 3.07GHz,2.0,,1,1,1000.0,,
Intel(R) Core(TM)2 Duo CPU P9700 @ 2.80GHz,2.8,,2,2,6000.0,,
Intel(R) Core(TM) i7-6700T CPU @ 2.80GHz,2.8,3.6,4,8,,,8000.0
AMD Phenom(tm) 9350e Quad-Core Processor,,,,,,,
mobile AMD Athlon(tm) XP-M (LV) 1800+,,,,,,,
Genuine Intel(R) CPU T1200 @ 1.50GHz,1.86,,1,1,2000.0,,
WinChip C6 ,,,,,,,
Intel(R) Celeron(R) M processor 1200MHz,0.6,,1,1,512.0,,
AMD Opteron(tm) Processor 254,,,,,,,
Genuine Intel(R) CPU T1400 @ 1.83GHz,1.83,,1,1,2000.0,,
AMD Athlon(tm) X4 620 Processor,,,,,,,
Mobile AMD Athlon(tm) 64 Processor 4000+,,,,,,,
Intel(R) Pentium(R) CPU G4600 @ 3.60GHz,3.6,,2,4,,3000.0,
mobile AMD Duron(tm) Processor,,,,,,,
Intel(R) Xeon(R) CPU E3-1230 v3 @ 3.30GHz,3.3,3.7,4,8,,,8000.0
Intel(R) Core(TM) i5-4590S CPU @ 3.00GHz,3.0,3.7,4,4,,,6000.0
AMD Athlon(TM) MP 2600+,,,,,,,
Intel(R) Core(TM)2 Duo CPU E8400 @ 3.00GHz,3.0,,2,2,6000.0,,
Intel(R) Pentium(R) CPU E6500 @ 2.93GHz,2.93,,2,2,2000.0,,
Intel(R) Core(TM) i5-4300Y CPU @ 1.60GHz,1.6,2.3,2,4,,,3000.0
Genuine Intel(R) CPU 1600 @ 2.16GHz,2.16,,1,1,1000.0,,
Genuine Intel(R) CPU 0000 @ 2.10GHz,2.1,,2,2,,2000.0,
AMD Sempron(TM) 2500+,,,,,,,
AMD Turion(tm) 64 Mobile Technology MK-36,,,,,,,
Intel(R) Celeron(R) CPU 1005M @ 1.90GHz,1.9,,2,2,,2000.0,
AMD Phenom(tm) II X2 550 Processor,,,,,,,
Intel(R) Celeron(R) CPU 3855U @ 1.60GHz,1.6,,2,2,,,2000.0
Intel(R) Core(TM) i7-2670QM CPU @ 2.20GHz,2.2,3.1,4,8,,,6000.0
Intel(R) Pentium(R) III Mobile CPU 733MHz,0.733,,1,1,256.0,,
Intel(R) Xeon(TM) MP CPU 2.80GHz,2.8,,1,2,512.0,,
Intel(R) Core(TM) i7-7700 CPU @ 3.60GHz,3.6,4.2,4,8,,,8000.0
Intel(R) Core(TM)2 Quad CPU Q6700 @ 2.66GHz,2.66,,4,4,8000.0,,
Mobile Intel(R) Celeron(R) CPU 2.40GHz,2.4,,1,1,128.0,,
AMD Athlon(tm) 3000+,,,,,,,
Intel(R) Pentium(R) M processor 1700MHz,1.6,,1,1,1000.0,,
mobile AMD Athlon(tm) XP 1600+,,,,,,,
Intel(R) Core(TM)2 Duo CPU E6550 @ 2.33GHz,2.33,,2,2,4000.0,,
AMD Athlon(tm) 64 FX-74 Processor,,,,,,,
Intel(R) Celeron(R) CPU P4600 @ 2.00GHz,2.0,,2,2,,,2000.0
AMD Athlon(tm) XP-M (LV) 1700+,,,,,,,
Intel(R) Core(TM)2 Quad CPU Q6600 @ 2.40GHz,2.4,,4,4,8000.0,,
Intel(R) Core(TM) i5-7600 CPU @ 3.50GHz,3.5,4.1,4,4,,,6000.0
AMD Phenom(tm) II X4 B45 Processor,,,,,,,
AMD Athlon(TM) XP 2500+,,,,,,,
Intel(R) Xeon(TM) CPU 2.20GHz,2.2,,1,2,512.0,,
Intel(R) Core(TM)2 CPU T7600 @ 2.33GHz,2.33,,2,2,4000.0,,
Mobile AMD Athlon(tm) 64 Processor 3400+,,,,,,,
Intel(R) Core(TM) i7-2820QM CPU @ 2.30GHz,2.3,3.4,4,8,,,8000.0
Intel(R) Core(TM) i7 CPU 930 @ 2.80GHz,2.8,3.06,4,8,,,8000.0
AMD Athlon(tm) Dual Core Processor 4450e,,,,,,,
Intel(R) Core(TM) i5-2467M CPU @ 1.60GHz,1.6,2.3,2,4,,3000.0,
Mobile Intel(R) Celeron(R) CPU 1.70GHz,1.7,,1,1,256.0,,
Mobile AMD Sempron(tm) Processor 2800+,,,,,,,
Intel(R) Core(TM) i7-5930K CPU @ 3.50GHz,3.5,3.7,6,12,,,15000.0
AMD Athlon(tm) II X2 245 Processor,3.0,,2,,,,0
AMD Athlon(tm) X2 Dual-Core QL-65,,,,,,,
Intel(R) Atom(TM) x5-Z8500 CPU @ 1.44GHz,1.44,,4,4,,2000.0,
Intel(R) Core(TM)2 Duo CPU L9400 @ 1.86GHz,1.86,,2,2,6000.0,,
Intel(R) Core(TM) i7-3770K CPU @ 3.50GHz,3.5,3.9,4,8,,,8000.0
AMD Athlon(tm) II Dual-Core M320,,,,,,,
Intel(R) Core(TM)2 Duo CPU L9600 @ 2.13GHz,2.13,,2,2,6000.0,,
AMD Phenom(tm) 9100e Quad-Core Processor,,,,,,,
Dual Core AMD Opteron(tm) Processor 270,,,,,,,
Genuine Intel(R) CPU U2500 @ 1.20GHz,1.2,,2,2,2000.0,,
AMD Athlon(tm) XP processor 1600+,,,,,,,
Intel(R) Core(TM)2 Quad CPU Q8300 @ 2.50GHz,2.5,,4,4,4000.0,,
Intel(R) Xeon(R) CPU E5-2660 0 @ 2.20GHz,2.2,3.0,8,16,,,20000.0
Intel(R) Core(TM)2 Quad CPU Q9100 @ 2.26GHz,2.26,,4,4,12000.0,,
AMD A10-5700 APU with Radeon(tm) HD Graphics ,,,,,,,
Mobile Intel(R) Pentium(R) 4 - M CPU 1.70GHz,1.7,,1,1,1000.0,,
Genuine Intel(R) CPU 000 @ 2.27GHz,,,,,,,
Intel(R) Pentium(R) 4 CPU 3.60GHz,3.0,,1,2,1000.0,,
Intel(R) Core(TM) i5-4690K CPU @ 3.50GHz,3.5,3.9,4,4,,,6000.0
AMD Sempron(tm,,,,,,,
Intel(R) Pentium(R) CPU G840 @ 2.80GHz,2.8,,2,2,,,3000.0
AMD Turion(tm) 64 mobile Technology MT-37,,,,,,,
Intel(R) Core(TM) i5-3320M CPU @ 2.60GHz,2.6,3.3,2,4,,,3000.0
AMD Athlon(tm) Dual Core Processor 4450B,,,,,,,
VIA Samuel,,,,,,,
Intel(R) Core(TM)2 Duo CPU T9800 @ 2.93GHz,2.93,,2,2,6000.0,,
Intel(R) Core(TM) i3-4360 CPU @ 3.70GHz,3.7,,2,4,,,4000.0
Intel(R) Xeon(TM) CPU 3.16GHz,3.16,,1,2,1000.0,,
AMD C-70 APU with Radeon(tm) HD Graphics,,,,,,,
Mobile Pentium III (Coppermine) ,0.75,,1,1,256.0,,
AMD Athlon(tm) 64 FX-57 Processor,,,,,,,
Intel(R) Celeron(R) M processor 1500MHz,1.5,,1,1,1000.0,,
Intel(R) Atom(TM) CPU N280 @ 1.66GHz,1.66,,1,2,512.0,,
Mobile Intel(R) Celeron(R) CPU 2.50GHz,1.5,,2,2,,2000.0,
AMD Phenom(tm) II P940 Quad-Core Processor,,,,,,,
Unknow CPU Type,,,,,,,
Intel(R) Core(TM) i7-6900K CPU @ 3.20GHz,3.2,3.7,8,16,,20000.0,
Intel(R) Core(TM) i7-2677M CPU @ 1.80GHz,1.8,2.9,2,4,,4000.0,
Intel(R) Core(TM) i7-7700K CPU @ 4.20GHz,4.2,4.5,4,8,,,8000.0
Genuine Intel(R) CPU N270 @ 1.60GHz,1.6,,1,2,512.0,,
Mobile AMD Sempron(tm) 3600+,,,,,,,
Mobile AMD Athlon(tm) XP 2500+,,,,,,,
Intel(R) Core(TM) i5-2300 CPU @ 2.80GHz,2.8,3.1,4,4,,,6000.0
Intel(R) Dual Pentium(R) M CPU 000 @ 2.00GHz,2.0,,2,2,,2000.0,
xeon E5 ,2.0,2.5,6,12,,,15000.0
Intel(R) Atom(TM) CPU Z540 @ 1.86GHz,1.86,,1,2,512.0,,
Intel(R) Core(TM) i7-5500U CPU @ 2.40GHz,2.4,3.0,2,4,,4000.0,
AMD Sempron(tm) Processor 3600+,,,,,,,
Intel(R) Core(TM) i5-3470S CPU @ 2.90GHz,2.9,3.6,4,4,,,6000.0
Intel(R) Celeron(R) CPU 560 @ 2.13GHz,2.13,,1,1,1000.0,,
Transmeta(tm) Crusoe(tm) Processor TM5500,,,,,,,
AMD Athlon(TM) MP 2700+,,,,,,,
Intel(R) Core(TM) i7-4650U CPU @ 1.70GHz,1.7,3.3,2,4,,,4000.0
Intel(R) Xeon(R) CPU 3060 @ 2.40GHz,2.4,,2,2,4000.0,,
mobile AMD Sempron(tm) Processor 2800+,,,,,,,
Unknown CPU Type,,,,,,,
Intel(R) Core(TM) i7-3820QM CPU @ 2.70GHz,2.7,3.7,4,8,,,8000.0
Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz,3.2,3.9,4,4,,,6000.0
AMD Athlon(tm) XP 1700+,,,,,,,
mobile AMD Duron(tm),,,,,,,
Mobile Intel(R) Pentium(R) 4 - M CPU 2.20GHz,2.2,,1,1,512.0,,
AMD Phenom(tm) II X4 940 Processor,,,,,,,
AMD Ryzen Threadripper 1950X 16-Core Processor ,3.4,4.0,16.0,32.0,8000.0,32000.0,0
Intel(R) Core(TM)2 Duo CPU T9300 @ 2.50GHz,2.5,,2,2,6000.0,,
Intel(R) Pentium(R) 4 CPU 1.50GHz,1.5,,1,1,256.0,,
AMD C-60 APU with Radeon(tm) HD Graphics,,,,,,,
AMD Athlon(TM) MP 1700+,,,,,,,
Intel(R) Celeron(R) CPU 2.10GHz,2.1,,2,2,,,2000.0
AMD Turion(tm) 64 Mobile Technology ML-44,,,,,,,
Mobile AMD Athlon(tm) XP processor,,,,,,,
Intel(R) Atom(TM) CPU Z510 @ 1.10GHz,1.1,,1,1,512.0,,
Intel(R) Core(TM) i3-2310M CPU @ 2.10GHz,2.1,,2,4,,,3000.0
Intel(R) Xeon(TM) MP CPU 2.00GHz,2.0,,2,2,4000.0,,
AMD Athlon(tm) 64 X2 Dual Core Processor TK-57,,,,,,,
AMD Turion(tm) 64 Mobile Technology MT-34,,,,,,,
AMD Ryzen 7 1700X Eight-Core Processor ,3.4,3.8,8.0,16.0,4000.0,16000.0,0
Genuine Intel(R) CPU T2250 @ 1.73GHz,1.73,,2,2,2000.0,,
Intel(R) Pentium(R) CPU G4500 @ 3.50GHz,3.5,,2,2,,,3000.0
Mobile Intel(R) Celeron(TM) CPU 1000MHz,1.8,,2,2,,,2000.0
Pentium OverDrive (P24T) ,,,,,,,
Intel(R) Pentium(R) M processor 1000MHz,1.7,,1,1,1000.0,,
AMD Athlon(tm) X2 Dual-Core QL-60,,,,,,,
Intel(R) Pentium(R) III CPU 1133MHz,1.13,,1,1,256.0,,
Intel(R) Core(TM)2 Extreme CPU X9775 @ 3.20GHz,3.2,,4,4,12000.0,,
Intel(R) Celeron(R) M CPU 520 @ 1.60GHz,1.6,,1,1,1000.0,,
Intel(R) Core(TM)2 CPU 6400 @ 2.13GHz,2.13,,2,2,2000.0,,
AMD Phenom(tm) 8450e Triple-Core Processor,,,,,,,
AMD Turion(tm) 64 X2 Mobile Technology TL-58,,,,,,,
mobile AMD Athlon(tm) XP-M (LV) 2100+,,,,,,,
AMD Athlon(tm) 3100+,,,,,,,
Intel(R) Core(TM) i7 CPU 950 @ 3.07GHz,3.06,3.33,4,8,,,8000.0
Intel(R) Celeron(R) M CPU 450 @ 2.00GHz,2.0,,1,1,1000.0,,
Intel(R) Pentium(R) III CPU family 1266MHz,1.4,,1,1,512.0,,
AMD Athlon(tm) II X2 245e Processor,3.2,,2,,2000.0,,0
Dual Core AMD Opteron(tm) Processor 165,,,,,,,
Intel(R) Core(TM)2 Duo CPU T9600 @ 2.80GHz,2.8,,2,2,6000.0,,
Genuine Intel(R) CPU 1300 @ 1.66GHz,1.66,,1,1,2000.0,,
Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,3.4,3.8,4,4,,,6000.0
Dual Core AMD Opteron(tm) Processor 275,,,,,,,
Intel(R) Core(TM)2 CPU 6320 @ 1.86GHz,1.86,,2,2,4000.0,,
mobile AMD Athlon(tm) XP-M 3200+,,,,,,,
AMD Phenom(tm) II X4 965 Processor,,,,,,,
AMD Phenom(tm) II X4 B40 Processor,,,,,,,
Intel(R) Celeron(R) CPU 3.33GHz,3.33,,1,1,512.0,,
Intel(R) Pentium(R) 4 Mobile CPU 1.60GHz,1.6,,1,1,512.0,,
Transmeta(tm) Crusoe(tm) Processor TM5800,,,,,,,
AMD Athlon(tm) XP 3100+,,,,,,,
AMD FX(tm)-8350 Eight-Core Processor,,,,,,,
AMD A10-7850K APU with Radeon(TM) R7 Graphics,,,,,,,
Geode(TM) Integrated Processor by National Semi,,,,,,,
Intel(R) Core(TM) i5-4200U CPU @ 1.60GHz,1.6,2.6,2,4,,,3000.0
Intel(R) Core(TM) i7-6700HQ CPU @ 2.60GHz,2.6,3.5,4,8,,,6000.0
Intel(R) Core(TM) i7-4712MQ CPU @ 2.30GHz,2.3,3.3,4,8,,,6000.0
Intel(R) Pentium(R) 4 CPU 3.80GHz,2.8,,1,1,512.0,,
Mobile Intel(R) Celeron(TM) CPU 1333MHz,2.16,,2,2,,1000.0,
"AMD PRO A12-8830B R7, 10 COMPUTE CORES 4C+6G ",,,,,,,
Mobile AMD Sempron(tm) Processor 3400+,,,,,,,
Intel(R) Celeron(TM) CPU 1133MHz,2.8,,2,2,,2000.0,
AMD Athlon(tm) 64 X2 Processor 4200+,,,,,,,
Mobile AMD Athlon(tm) XP 2400+,,,,,,,
Intel(R) Core(TM) i3-4170 CPU @ 3.70GHz,3.7,,2,4,,3000.0,
Pentium MMX 200MHz ,0.2,,1,1,512.0,,
Intel(R) Xeon(R) CPU X3360 @ 2.83GHz,2.83,,4,4,12000.0,,
Intel(R) Core(TM) i3-4130 CPU @ 3.40GHz,3.4,,2,4,,,3000.0
mobile AMD Athlon(tm) XP2800+,,,,,,,
Genuine Intel(R) CPU L2300 @ 1.50GHz,1.5,,2,2,2000.0,,
Intel(R) Core(TM)2 Extreme CPU X9770 @ 3.20GHz,3.2,,4,4,12000.0,,
Intel(R) Xeon(R) CPU 5110 @ 1.60GHz,1.6,,2,2,4000.0,,
Intel(R) Core(TM)2 Extreme CPU @ 2.40GHz,3.0,,4,4,12000.0,,
