name,clock,max_clock,core,thread,L2,L3,smart_cache
Intel(R) Celeron(R) CPU E3300 @ 2.50GHz,2.5,,2,2,1000.0,,
"AMD A10-7890K Radeon R7, 12 Compute Cores 4C+8G",,,,,,,
Intel(R) Core(TM)2 Quad CPU Q9400 @ 2.66GHz,2.66,,4,4,6000.0,,
mobile AMD Sempron(tm),,,,,,,
Intel(R) Atom(TM) CPU Z3775D @ 1.49GHz,1.49,,4,4,2000.0,,
Intel(R) Core(TM)2 Duo CPU E4400 @ 2.00GHz,2.0,,2,2,2000.0,,
Intel(R) Celeron(R) CPU 540 @ 1.86GHz,1.86,,1,1,1000.0,,
Mobile Intel(R) Pentium(R) III CPU - M 1066MHz,1.2,,1,1,512.0,,
Intel(R) Core(TM) i7-2600S CPU @ 2.80GHz,2.8,3.8,4,8,,,8000.0
Intel(R) Core(TM) i7 CPU L 620 @ 2.00GHz,2.0,2.8,2,4,,,4000.0
Intel(R) Core(TM)2 Duo CPU E7600 @ 3.06GHz,3.06,,2,2,3000.0,,
Intel(R) Xeon(R) CPU E5420 @ 2.50GHz,2.5,,4,4,12000.0,,
Intel(R) Xeon(R) CPU 3070 @ 2.66GHz,2.66,,2,2,4000.0,,
Intel(R) Pentium(R) III Mobile CPU 866MHz,0.866,,1,1,256.0,,
Duron (Spitfire),,,1,,,,0
AMD Turion(tm)X2 Ultra DualCore Mobile ZM-80,,,,,,,
Intel(R) Celeron(R) CPU 1000M @ 1.80GHz,1.8,,2,2,,,2000.0
Intel(R) Core(TM) i5-4200M CPU @ 2.50GHz,2.5,3.1,2,4,,,3000.0
Intel(R) Xeon(R) CPU W3565 @ 3.20GHz,3.2,3.46,4,8,,,8000.0
AMD FX(tm)-8300 Eight-Core Processor ,,,,,,,
AMD FX(tm)-8100 Eight-Core Processor,4.7,5.0,8.0,8.0,8000.0,8000.0,0
Intel(R) Core(TM) i7 CPU X 990 @ 3.47GHz,3.46,3.73,6,12,,,12000.0
AMD Turion(tm) X2 Dual-Core Mobile RM-70,,,,,,,
AMD Sempron(tm) SI-42,,,,,,,
Intel(R) Xeon(R) CPU E5620 @ 2.40GHz,2.4,2.66,4,8,,,12000.0
Intel(R) Xeon(R) CPU X5690 @ 3.47GHz,3.46,3.73,6,12,,,12000.0
Intel(R) Celeron(R) CPU 2.00GHz,2.0,,2,2,,,2000.0
Genuine Intel(R) processor 600MHz,0.6,,1,1,512.0,,
Intel(R) Core(TM)2 Duo CPU E4600 @ 2.40GHz,2.4,,2,2,2000.0,,
Intel(R) Celeron(R) CPU G1610 @ 2.60GHz,2.6,,2,2,,,2000.0
Intel(R) Core(TM)2 CPU E7600 @ 3.06GHz,3.06,,2,2,3000.0,,
Vortex86DX3 ,,,,,,,
AMD Athlon(tm) X2 240e Processor,,,,,,,
Intel(R) Core(TM) i7-4710HQ CPU @ 2.50GHz,2.5,3.5,4,8,,,6000.0
Mobile AMD Athlon(tm) XP xx00+ Processor,,,,,,,
Intel(R) Xeon(R) CPU X5355 @ 2.66GHz,2.66,,4,4,8000.0,,
AMD Athlon(TM) XP 1900+,,,,,,,
Intel(R) Core(TM) i5 CPU M 480 @ 2.67GHz,2.66,2.93,2,4,,,3000.0
Intel(R) Core(TM) Duo CPU T2400 @ 1.83GHz,1.83,,2,2,2000.0,,
AMD Athlon(TM) XP 2400+,,,1,,,,0
AMD Turion(tm) 64 X2 Mobile Technology TL-68,1.6,,2.0,2.0,2000.0,,0
"Coppermine, CuMine, A80526 ",,,,,,,
Intel(R) Pentium(R) CPU J4205 @ 1.50GHz,1.5,,4,4,,2000.0,
AMD Opteron(tm) Processor 248,,,,,,,
Intel(R) Pentium(R) 4 CPU 3.00GHz,3.0,,1,2,1000.0,,
Intel(R) Core(TM) Solo CPU U1300 @ 1.06GHz,1.06,,1,1,2000.0,,
Intel(R) Core(TM) i5-8600K CPU @ 3.60GHz,3.6,3.86,2,4,,,4000.0
Intel(R) Core(TM) i7-3920XM CPU @ 2.90GHz,2.9,3.6,2,4,,,4000.0
Intel(R) Core(TM)2 Duo CPU T8100 @ 2.10GHz,2.1,,2,2,3000.0,,
Intel(R) Xeon(R) CPU E31290 @ 3.60GHz,3.6,3.8,4,8,,,10000.0
"AMD A10-7870K Radeon R7, 12 Compute Cores 4C+8G",,,,,,,
Intel(R) Celeron(R) CPU 900 @ 2.20GHz,2.2,,1,1,1000.0,,
AMD Athlon(tm) 1800+,3.6,4.0,8.0,16.0,4000.0,16000.0,0
Intel(R) Core(TM)2 Duo CPU L9300 @ 1.60GHz,1.6,,2,2,6000.0,,
Intel(R) Core(TM)2 CPU U7500 @ 1.06GHz,1.06,,2,2,2000.0,,
Celeron(R) Dual-Core CPU T3100 @ 1.90GHz,1.9,,2,2,1000.0,,
Intel(R) Core(TM) i5-4670K CPU @ 3.40GHz,3.4,3.8,4,4,,,6000.0
Intel(R) Atom(TM) CPU Z3795 @ 1.60GHz,1.59,,4,4,2000.0,,
Intel(R) Core(TM)2 CPU T5600 @ 1.83GHz,1.83,,2,2,2000.0,,
Intel(R) Core(TM) i7 CPU 870 @ 2.93GHz,2.93,3.6,4,8,,,8000.0
Genuine Intel(R) CPU @ 2.80GHz,1.8,,2,2,1000.0,,
Intel(R) Core(TM) i7-2640M CPU @ 2.80GHz,2.8,3.5,2,4,,,4000.0
mobile AMD Athlon(tm) XP 2200+,,,,,,,
