,id,capacity,generation
112,217,1.024,1
113,218,1.024,1
114,219,0.503,1
115,221,0.512,1
116,225,0.511,1
117,227,2.047,1
118,228,0.512,1
119,234,1.024,1
120,239,0.512,1
121,240,0.511,1
122,241,0.512,1
123,243,0.512,1
124,244,1.023,1
125,245,0.384,0
126,247,0.512,1
127,248,1.023,1
128,249,0.511,1
129,251,2.047,1
130,252,0.512,1
131,255,0.512,1
132,256,1.024,1
133,257,0.512,1
134,258,2.047,1
135,259,0.512,1
136,261,0.512,1
137,264,1.024,1
138,265,0.512,
139,268,1.024,1
140,269,0.512,1
141,270,1.023,0
142,271,1.023,1
143,272,1.024,1
144,273,1.024,1
145,274,1.023,1
146,275,1.023,1
147,276,0.512,1
148,277,2.048,
149,281,0.512,1
150,282,0.511,1
151,283,0.512,1
152,284,0.511,1
153,287,0.384,0
154,290,0.512,1
155,291,0.512,1
156,292,0.512,1
157,298,1.024,1
158,302,2.048,1
159,304,0.512,1
160,306,1.024,1
161,308,1.024,0
162,314,0.384,1
163,315,0.512,0
164,316,0.512,1
165,319,0.239,1
166,320,0.512,1
167,321,1.023,1
168,322,0.512,1
169,323,1.024,1
170,324,0.736,1
171,325,0.511,1
172,326,1.024,1
173,327,0.512,1
174,328,1.024,1
175,330,0.256,1
176,331,0.512,1
177,332,0.512,1
178,333,0.512,1
179,335,0.512,1
180,337,0.512,1
181,338,0.512,1
182,339,0.512,1
183,340,1.023,1
184,341,0.512,1
185,343,0.512,1
186,344,0.512,1
187,348,1.024,1
188,349,0.447,1
189,350,0.512,1
190,352,0.447,1
191,353,0.512,
192,354,0.512,1
193,355,0.767,1
194,356,0.512,1
195,357,1.024,1
196,359,0.512,0
197,360,0.512,1
198,361,0.512,1
199,363,0.512,1
200,365,0.48,1
201,366,1.024,1
202,367,1.024,1
203,370,0.511,1
204,371,0.512,0
205,372,0.512,1
206,374,1.024,1
207,376,0.224,1
208,377,0.511,1
209,379,1.015,1
210,380,1.024,1
211,381,0.24,1
212,382,0.511,1
213,385,1.024,1
214,386,1.023,1
215,387,1.024,1
216,389,0.512,
217,390,1.023,1
218,391,0.512,
219,393,0.512,1
220,394,1.024,1
221,396,0.512,1
222,401,0.767,1
223,403,0.512,1
224,405,0.766,1
225,406,0.512,1
226,409,0.512,1
227,416,0.512,1
228,417,0.512,1
229,418,0.512,1
230,420,1.023,1
231,421,0.512,1
232,422,0.768,1
233,423,0.512,1
234,426,0.512,1
235,428,0.512,1
236,430,1.024,1
237,432,0.512,1
238,433,1.023,1
239,435,1.023,1
