,hdd_ssd,read_speed,write_speed,PRICE
186,1,1700.0,1300.0,5680
187,1,2000.0,1100.0,8974
188,1,2000.0,1200.0,4180
189,1,2400.0,950.0,5980
190,1,3100.0,1600.0,7106
191,1,3400.0,1500.0,6980
192,1,3500.0,2300.0,9146
193,1,80.0,60.0,24689
194,1,110.0,95.0,17270
195,1,112.0,90.0,16500
196,1,400.0,400.0,5900
197,1,410.0,380.0,9980
198,1,440.0,430.0,4680
199,1,450.0,245.0,12980
200,1,450.0,440.0,8645
201,1,500.0,280.0,17130
202,1,500.0,450.0,10800
203,1,500.0,500.0,19000
204,1,510.0,400.0,4280
205,1,530.0,400.0,4980
206,1,530.0,450.0,3699
207,1,550.0,340.0,11180
208,1,550.0,400.0,5780
209,1,550.0,450.0,3992
210,1,550.0,500.0,4470
211,1,550.0,510.0,3963
212,1,550.0,520.0,3934
213,1,550.0,525.0,4980
214,1,555.0,500.0,9949
215,1,556.0,515.0,3278
216,1,560.0,310.0,12980
217,1,560.0,320.0,11480
218,1,560.0,440.0,3480
219,1,560.0,460.0,11970
220,1,560.0,500.0,4380
221,1,560.0,510.0,4889
222,1,560.0,520.0,4980
223,1,560.0,530.0,11183
224,1,570.0,470.0,25098
225,1,763.0,616.0,32037
226,1,770.0,580.0,22467
227,1,1570.0,540.0,7038
228,1,1627.0,1262.0,6578
229,1,1700.0,1500.0,4580
230,1,1730.0,1000.0,4730
231,1,1800.0,900.0,6440
232,1,1850.0,950.0,5377
233,1,2000.0,1100.0,8250
234,1,2100.0,1200.0,4980
235,1,2200.0,900.0,30580
236,1,3000.0,1000.0,5480
237,1,3090.0,1035.0,5280
238,1,3090.0,1040.0,9775
239,1,3100.0,1050.0,9142
240,1,3210.0,1315.0,7700
241,1,3400.0,1100.0,7041
242,1,3500.0,1100.0,5480
243,1,3500.0,1200.0,5038
244,1,3500.0,2200.0,24217
245,1,2500.0,2000.0,46749
246,1,522.0,487.0,8143
247,1,530.0,450.0,5480
248,1,530.0,450.0,4223
249,1,550.0,480.0,4810
250,1,560.0,480.0,11070
251,1,570.0,490.0,7618
252,1,2400.0,2000.0,235427
253,1,300.0,200.0,7458
254,1,340.0,320.0,5980
255,1,350.0,300.0,6680
256,1,350.0,350.0,8580
