,0,name,url,processor_name,maker,type,clock,max_clock,core,thread,is_L2,L2,is_L3,L3,is_smart_cache,smart_cache,PRICE
41,79,インテル Core i5 7400T BOX,https://kakaku.com/item/K0000932821/,Corei57400T (KabyLake-S),インテル,LGA1151,2.4,3.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,6000.0,25173.0
42,281,インテル Xeon E5-4610 BOX,https://kakaku.com/item/K0000377273/,XeonE5-4610,インテル,LGA2011,2.4,2.9,6.0,12.0,0.0,0.0,0.0,0.0,1.0,15000.0,271440.0
43,238,インテル Xeon E5-2630 v3 BOX,https://kakaku.com/item/K0000691496/,XeonE5-2630V3 (Haswell-EP),インテル,LGA2011-3,2.4,3.2,8.0,16.0,0.0,0.0,0.0,0.0,1.0,20000.0,87987.0
44,127,インテル Xeon E5-2640 v4 BOX,https://kakaku.com/item/K0000869935/,XeonE5-2640V4 (Broadwell-EP),インテル,LGA2011-3,2.4,3.4,10.0,20.0,0.0,0.0,0.0,0.0,1.0,25000.0,96580.0
45,269,インテル Xeon E5-2680 v4 BOX,https://kakaku.com/item/K0000869943/,XeonE5-2680V4 (Broadwell-EP),インテル,LGA2011-3,2.4,3.3,14.0,28.0,0.0,0.0,0.0,0.0,1.0,35000.0,219999.0
46,243,AMD EPYC 7351P BOX,https://kakaku.com/item/K0001087350/,EPYC7351P,AMD,0,2.4,2.9,16.0,32.0,0.0,0.0,1.0,64000.0,0.0,0.0,109999.0
47,186,インテル Xeon Gold 6148 BOX,https://kakaku.com/item/K0000982854/,XeonGold6148 (Skylake-SP),インテル,LGA3647,2.4,3.7,20.0,40.0,0.0,0.0,1.0,27500.0,0.0,0.0,378990.0
48,259,インテル Xeon E5-2670 v2 バルク,https://kakaku.com/item/K0000575844/,XeonE5-2670V2 (IvyBridge),インテル,LGA2011,2.5,3.3,10.0,20.0,0.0,0.0,0.0,0.0,1.0,25000.0,169800.0
49,277,インテル Xeon W-2175 バルク,https://kakaku.com/item/K0001098194/,XeonW-2175 (Skylake-W),インテル,LGA2066,2.5,4.3,14.0,28.0,0.0,0.0,1.0,19000.0,0.0,0.0,264815.0
50,292,インテル Xeon Gold 6248 BOX,https://kakaku.com/item/K0001159363/,XeonGold6248 (CascadeLake-SP),インテル,LGA3647,2.5,3.9,20.0,40.0,0.0,0.0,1.0,28000.0,0.0,0.0,381670.0
51,110,インテル Xeon W-3275 バルク,https://kakaku.com/item/K0001211651/,XeonW-3275 (CascadeLake),インテル,LGA3647,2.5,4.6,28.0,56.0,0.0,0.0,1.0,38500.0,0.0,0.0,579699.0
52,137,インテル Pentium Dual-Core G620 バルク,https://kakaku.com/item/K0000254496/,PentiumDual-CoreG620,インテル,LGA1155,2.6,0.0,2.0,2.0,0.0,0.0,1.0,3000.0,0.0,0.0,9999.0
53,231,インテル Xeon Silver 4112 BOX,https://kakaku.com/item/K0000982866/,XeonSilver4112 (Skylake-SP),インテル,LGA3647,2.6,3.0,4.0,8.0,0.0,0.0,1.0,8250.0,0.0,0.0,61929.0
54,178,インテル Xeon E5-2690 v4 BOX,https://kakaku.com/item/K0000869946/,XeonE5-2690V4 (Broadwell-EP),インテル,LGA2011-3,2.6,3.5,14.0,28.0,0.0,0.0,0.0,0.0,1.0,35000.0,259599.0
55,291,インテル Xeon Gold 6142 BOX,https://kakaku.com/item/K0000982848/,XeonGold6142 (Skylake-SP),インテル,LGA3647,2.6,3.7,16.0,32.0,0.0,0.0,1.0,22000.0,0.0,0.0,360990.0
