,index,name,url,capacity[GB],memory_num,capacity_sum,memory_standard,interface,module_standard,generation,PRICE
16,196,ノーブランド SODIMM DDR3 PC3-10600 2GB,https://kakaku.com/item/05200013851/,2.0,1.0,2.0,DDR3SDRAM,S.O.DIMM,PC3-10600(DDR3-1333),3.0,1015.0
17,1275,crucial CT2G4SFS624A [SODIMM DDR4 PC4-19200 2GB],https://kakaku.com/item/K0000996199/,2.0,1.0,2.0,DDR4SDRAM,S.O.DIMM,PC4-19200(DDR4-2400),4.0,3062.0
18,1881,ADTEC ADS10600D-1G3 [DDR3 PC3-10600 1GB 3枚組],https://kakaku.com/item/K0000624389/,1.0,3.0,3.0,DDR3SDRAM,DIMM,PC3-10600(DDR3-1333),3.0,6921.0
19,1088,バッファロー D2/N533-2GX2 (DDR2 PC2-4200 2GB 2枚組),https://kakaku.com/item/05202011662/,2.0,2.0,4.0,DDR2SDRAM,S.O.DIMM,PC2-4200(DDR2-533),2.0,755.0
20,81,RAMMAX Technology RM-LD1600-4GB [DDR3 PC3-12800 4GB],https://kakaku.com/item/K0001187111/,4.0,1.0,4.0,DDR3SDRAM,DIMM,PC3-12800(DDR3-1600),3.0,1640.0
21,129,G.Skill F4-2133C15S-4GRS [SODIMM DDR4 PC4-17000 4GB],https://kakaku.com/item/K0000984803/,4.0,1.0,4.0,DDR4SDRAM,S.O.DIMM,PC4-17000(DDR4-2133),4.0,2080.0
22,718,G.Skill F3-12800CL9T-6GBNQ (DDR3 PC3-12800 2GB 3枚組),https://kakaku.com/item/K0000002130/,2.0,3.0,6.0,DDR3SDRAM,DIMM,PC3-12800(DDR3-1600),3.0,4980.0
23,480,バッファロー D2/N800-4GX2 (SODIMM DDR2 PC2-6400 4GB 2枚組),https://kakaku.com/item/K0000094643/,4.0,2.0,8.0,DDR2SDRAM,S.O.DIMM,PC2-6400(DDR2-800),2.0,755.0
24,20,RAMMAX Technology RM-LD1600-D8GB [DDR3 PC3-12800 4GB 2枚組],https://kakaku.com/item/K0001187098/,4.0,2.0,8.0,DDR3SDRAM,DIMM,PC3-12800(DDR3-1600),3.0,2680.0
25,102,CFD W4U2400PS-4GC17 [DDR4 PC4-19200 4GB 2枚組],https://kakaku.com/item/K0001058421/,4.0,2.0,8.0,DDR4SDRAM,DIMM,PC4-19200(DDR4-2400),4.0,3380.0
26,420,Corsair CMX12GX3M3A1333C9 [DDR3 PC3-10600 4GB 3枚組],https://kakaku.com/item/K0000275533/,4.0,3.0,12.0,DDR3SDRAM,DIMM,PC3-10600(DDR3-1333),3.0,6810.0
27,1005,G.Skill F2-6400CL5Q-16GBPQ (DDR2 PC2-6400 4GB 4枚組),https://kakaku.com/item/K0000062172/,4.0,4.0,16.0,DDR2SDRAM,DIMM,PC2-6400(DDR2-800),2.0,43800.0
28,153,RAMMAX Technology RM-LD1600-D16GB [DDR3 PC3-12800 8GB 2枚組],https://kakaku.com/item/K0001187080/,8.0,2.0,16.0,DDR3SDRAM,DIMM,PC3-12800(DDR3-1600),3.0,6529.0
