,0,name,url,capacity,rpm,cache,interface,PRICE
63,79,WESTERN DIGITAL WD101KFBX [10TB SATA600 7200],https://kakaku.com/item/K0000972161/,10000.0,7200.0,256000.0,SerialATA600,49700
64,80,SEAGATE ST14000NE0008 [14TB SATA600 7200],https://kakaku.com/item/K0001090644/,14000.0,7200.0,256000.0,SerialATA600,50780
65,81,WESTERN DIGITAL WUH721414ALE6L4 [14TB SATA600 7200],https://kakaku.com/item/K0001127995/,14000.0,7200.0,512000.0,SerialATA600,66578
66,82,WESTERN DIGITAL WD6003FRYZ [6TB SATA600 7200],https://kakaku.com/item/K0001207346/,6000.0,7200.0,256000.0,SerialATA600,29778
67,83,WESTERN DIGITAL WD3200AAKS (320G SATA300 7200),https://kakaku.com/item/05302515806/,320.0,7200.0,16000.0,SerialATA300,3264
68,84,WESTERN DIGITAL WD5000AZRZ-RT [500GB SATA600 5400],https://kakaku.com/item/K0000820665/,500.0,5400.0,64000.0,SerialATA600,5250
69,85,SEAGATE ST1000VN002 [1TB SATA600 5900],https://kakaku.com/item/K0000896134/,1000.0,5900.0,64000.0,SerialATA600,6980
70,87,HGST HUS722T1TALA604 [1TB SATA600 7200],https://kakaku.com/item/K0000935362/,1000.0,7200.0,128000.0,SerialATA600,10052
71,88,SEAGATE ST2000DX002 [2TB SATA600 7200],https://kakaku.com/item/K0000913438/,2000.0,7200.0,64000.0,SerialATA600,10208
72,89,SEAGATE ST2000NM0008 [2TB SATA600 7200],https://kakaku.com/item/K0001035506/,2000.0,7200.0,128000.0,SerialATA600,13420
73,90,HGST HUS722T2TALA604 [2TB SATA600 7200],https://kakaku.com/item/K0001051522/,2000.0,7200.0,128000.0,SerialATA600,15239
74,92,WESTERN DIGITAL WD121PURZ [12TB SATA600 7200],https://kakaku.com/item/K0001080062/,12000.0,7200.0,256000.0,SerialATA600,50599
75,93,WESTERN DIGITAL WD5000AAKS (500G SATA300 7200),https://kakaku.com/item/05302515791/,500.0,7200.0,16000.0,SerialATA300,3956
76,94,WESTERN DIGITAL WD5000AAKX [500GB SATA600 7200],https://kakaku.com/item/K0000164534/,500.0,7200.0,16000.0,0,4620
77,97,WESTERN DIGITAL WD5003AZEX [500GB SATA600 7200],https://kakaku.com/item/K0000411658/,500.0,7200.0,64000.0,SerialATA600,7952
78,100,WESTERN DIGITAL WD2003FZEX [2TB SATA600 7200],https://kakaku.com/item/K0000596578/,2000.0,7200.0,64000.0,SerialATA600,14938
79,101,WESTERN DIGITAL WD40EFRX [4TB SATA600 5400],https://kakaku.com/item/K0000573468/,4000.0,5400.0,64000.0,SerialATA600,18655
80,103,WESTERN DIGITAL HUS726T4TALA6L4 [4TB SATA600 7200],https://kakaku.com/item/K0001114935/,4000.0,7200.0,256000.0,SerialATA600,21349
81,104,WESTERN DIGITAL WD102KRYZ [10TB SATA600 7200],https://kakaku.com/item/K0001220516/,10000.0,7200.0,256000.0,SerialATA600,47495
82,105,HGST HUH721010ALE600 [10TB SATA600 7200],https://kakaku.com/item/K0000835196/,10000.0,7200.0,256000.0,SerialATA600,48900
83,106,HGST HUH721010ALE604 [10TB SATA600 7200],https://kakaku.com/item/K0000835204/,10000.0,7200.0,256000.0,SerialATA600,49000
84,107,SEAGATE ST3250312AS [250GB SATA600 7200],https://kakaku.com/item/K0000228650/,250.0,7200.0,8000.0,0,2868
85,109,WESTERN DIGITAL WD20EFRX [2TB SATA600 5400],https://kakaku.com/item/K0000401035/,2000.0,5400.0,64000.0,SerialATA600,9900
86,111,ロジテック 【直販モデル】 LHD-DA40SAKWR [4TB SATA600 7200],https://kakaku.com/item/K0000724970/,4000.0,7200.0,64000.0,SerialATA600,17930
87,112,WESTERN DIGITAL WD4003FFBX [4TB SATA600 7200],https://kakaku.com/item/K0001046063/,4000.0,7200.0,256000.0,SerialATA600,22880
88,113,WESTERN DIGITAL HUS728T8TALE6L4 [8TB SATA600 7200],https://kakaku.com/item/K0001114938/,8000.0,7200.0,256000.0,SerialATA600,38045
89,114,WESTERN DIGITAL WD8004FRYZ [8TB SATA600 7200],https://kakaku.com/item/K0001207348/,8000.0,7200.0,256000.0,SerialATA600,38055
90,115,WESTERN DIGITAL WD121KRYZ [12TB SATA600 7200],https://kakaku.com/item/K0000999796/,12000.0,7200.0,256000.0,SerialATA600,53800
91,116,WESTERN DIGITAL HUH721212ALE604 [12TB SATA600 7200],https://kakaku.com/item/K0001127994/,12000.0,7200.0,256000.0,SerialATA600,59675
92,117,SEAGATE ST3500418AS (500GB SATA300 7200),https://kakaku.com/item/K0000014805/,500.0,7200.0,16000.0,SerialATA300,4154
93,123,SEAGATE ST6000DM004 [6TB SATA600 7200],https://kakaku.com/item/K0000930242/,6000.0,7200.0,256000.0,SerialATA600,20600
94,124,WESTERN DIGITAL WD6003FFBX [6TB SATA600 7200],https://kakaku.com/item/K0001044791/,6000.0,7200.0,256000.0,SerialATA600,29517
95,125,SEAGATE ST8000NE0004 [8TB SATA600 7200],https://kakaku.com/item/K0000980073/,8000.0,7200.0,256000.0,SerialATA600,34429
96,126,SEAGATE ST8000NM0055 [8TB SATA600 7200],https://kakaku.com/item/K0000880170/,8000.0,7200.0,256000.0,SerialATA600,34979
97,127,WESTERN DIGITAL WD8003FFBX [8TB SATA600 7200],https://kakaku.com/item/K0001058220/,8000.0,7200.0,256000.0,SerialATA600,40499
98,128,SEAGATE ST10000NM0086 [10TB SATA600 7200],https://kakaku.com/item/K0001051525/,10000.0,7200.0,256000.0,SerialATA600,42569
99,129,HGST HUH721212ALE600 [12TB SATA600 7200],https://kakaku.com/item/K0000996123/,12000.0,7200.0,256000.0,SerialATA600,54000
100,130,WESTERN DIGITAL WD141KFGX [14TB SATA600 7200],https://kakaku.com/item/K0001220515/,14000.0,7200.0,512000.0,SerialATA600,71949
101,133,ロジテック 【直販モデル】 LHD-DA10SAKWGP [1TB SATA300],https://kakaku.com/item/K0000343347/,1000.0,5400.0,64000.0,SerialATA300,6600
102,134,SEAGATE ST31000528AS (1TB SATA300 7200),https://kakaku.com/item/K0000014807/,1000.0,7200.0,32000.0,SerialATA300,7121
103,135,WESTERN DIGITAL WD05PURZ [500GB SATA600 5400],https://kakaku.com/item/K0000966640/,500.0,5400.0,64000.0,SerialATA600,7181
104,137,ロジテック 【直販モデル】 LHD-DA20SAKWGP [2TB SATA300],https://kakaku.com/item/K0000343349/,2000.0,5400.0,64000.0,SerialATA300,8030
105,139,東芝 DT01ACA200BOX [2TB SATA 7200],https://kakaku.com/item/K0000438644/,2000.0,7200.0,64000.0,0,8860
106,140,SEAGATE ST1000NM0008 [1TB SATA600 7200],https://kakaku.com/item/K0001035507/,1000.0,7200.0,128000.0,SerialATA600,9628
