,name,url,capacity[GB],memory_num,capacity_sum,memory_standard,interface,module_standard,generation,PRICE
12,CFD D4N2666PS-8G [SODIMM DDR4 PC4-21300 8GB],https://kakaku.com/item/K0001010909/,8.0,1.0,8.0,DDR4SDRAM,S.O.DIMM,PC4-21300(DDR4-2666),4.0,3160.0
13,crucial CT2K8G4DFS8266 [DDR4 PC4-21300 8GB 2枚組],https://kakaku.com/item/K0000976480/,8.0,2.0,16.0,DDR4SDRAM,DIMM,PC4-21300(DDR4-2666),4.0,6460.0
14,CFD D3U1600PS-8G [DDR3 PC3-12800 8GB],https://kakaku.com/item/K0000761653/,8.0,1.0,8.0,DDR3SDRAM,DIMM,PC3-12800(DDR3-1600),3.0,2800.0
15,CFD W3U1600PS-4G [DDR3 PC3-12800 4GB 2枚組],https://kakaku.com/item/K0000596704/,4.0,2.0,8.0,DDR3SDRAM,DIMM,PC3-12800(DDR3-1600),3.0,3190.0
16,CFD W4N2400PS-8G [SODIMM DDR4 PC4-19200 8GB 2枚組],https://kakaku.com/item/K0001045990/,8.0,2.0,16.0,DDR4SDRAM,S.O.DIMM,PC4-19200(DDR4-2400),4.0,6115.0
17,CFD D3U1600PS-4G [DDR3 PC3-12800 4GB],https://kakaku.com/item/K0000761652/,4.0,1.0,4.0,DDR3SDRAM,DIMM,PC3-12800(DDR3-1600),3.0,1497.0
18,Corsair CMK16GX4M2A2666C16 [DDR4 PC4-21300 8GB 2枚組],https://kakaku.com/item/K0000799289/,8.0,2.0,16.0,DDR4SDRAM,DIMM,PC4-21300(DDR4-2666),4.0,7469.0
19,CFD W4U3200CX1-8G [DDR4 PC4-25600 8GB 2枚組],https://kakaku.com/item/K0001202262/,8.0,2.0,16.0,DDR4SDRAM,DIMM,PC4-25600(DDR4-3200),4.0,7199.0
20,crucial CT2K8G4DFS832A [DDR4 PC4-25600 8GB 2枚組],https://kakaku.com/item/K0001155280/,8.0,2.0,16.0,DDR4SDRAM,DIMM,PC4-25600(DDR4-3200),4.0,6716.0
21,ADATA AX4U266638G16-DBG [DDR4 PC4-21300 8GB 2枚組],https://kakaku.com/item/K0001163151/,8.0,2.0,16.0,DDR4SDRAM,DIMM,PC4-21300(DDR4-2666),4.0,6480.0
22,CFD W4U2666CX1-16G [DDR4 PC4-21300 16GB 2枚組],https://kakaku.com/item/K0001202261/,16.0,2.0,32.0,DDR4SDRAM,DIMM,PC4-21300(DDR4-2666),4.0,12799.0
23,CFD W3N1600PS-L4G [SODIMM DDR3 PC3-12800 4GB 2枚組],https://kakaku.com/item/K0000637114/,4.0,2.0,8.0,DDR3SDRAM,S.O.DIMM,PC3-12800(DDR3-1600),3.0,2889.0
24,ADATA AD4U2666316G19-D [DDR4 PC4-21300 16GB 2枚組],https://kakaku.com/item/K0001129237/,16.0,2.0,32.0,DDR4SDRAM,DIMM,PC4-21300(DDR4-2666),4.0,11980.0
25,CFD D4U2666PS-8GC19 [DDR4 PC4-21300 8GB],https://kakaku.com/item/K0001083492/,8.0,1.0,8.0,DDR4SDRAM,DIMM,PC4-21300(DDR4-2666),4.0,3278.0
26,Corsair CMK32GX4M2A2666C16 [DDR4 PC4-21300 16GB 2枚組],https://kakaku.com/item/K0000799286/,16.0,2.0,32.0,DDR4SDRAM,DIMM,PC4-21300(DDR4-2666),4.0,14774.0
27,CFD W4U3200CX1-16G [DDR4 PC4-25600 16GB 2枚組],https://kakaku.com/item/K0001202263/,16.0,2.0,32.0,DDR4SDRAM,DIMM,PC4-25600(DDR4-3200),4.0,14796.0
28,CFD D4N2400PS-4G [SODIMM DDR4 PC4-19200 4GB],https://kakaku.com/item/K0001045987/,4.0,1.0,4.0,DDR4SDRAM,S.O.DIMM,PC4-19200(DDR4-2400),4.0,1947.0
29,CFD D4N2400PS-8G [SODIMM DDR4 PC4-19200 8GB],https://kakaku.com/item/K0001045988/,8.0,1.0,8.0,DDR4SDRAM,S.O.DIMM,PC4-19200(DDR4-2400),4.0,3478.0
30,crucial CT2K16G4DFD8266 [DDR4 PC4-21300 16GB 2枚組],https://kakaku.com/item/K0000976481/,16.0,2.0,32.0,DDR4SDRAM,DIMM,PC4-21300(DDR4-2666),4.0,12359.0
31,CFD D3N1600PS-8G [SODIMM DDR3 PC3-12800 8GB],https://kakaku.com/item/K0000596709/,8.0,1.0,8.0,DDR3SDRAM,S.O.DIMM,PC3-12800(DDR3-1600),3.0,2790.0
32,トランセンド JetRam JM2666HSB-16G [SODIMM DDR4 PC4-21300 16GB],https://kakaku.com/item/K0001195861/,16.0,1.0,16.0,DDR4SDRAM,S.O.DIMM,PC4-21300(DDR4-2666),4.0,6480.0
33,CFD W4N2666PS-16G [SODIMM DDR4 PC4-21300 16GB 2枚組],https://kakaku.com/item/K0001077406/,16.0,2.0,32.0,DDR4SDRAM,S.O.DIMM,PC4-21300(DDR4-2666),4.0,12200.0
34,ノーブランド SODIMM DDR3 PC3-10600 4GB,https://kakaku.com/item/K0000126167/,4.0,1.0,4.0,DDR3SDRAM,S.O.DIMM,PC3-10600(DDR3-1333),3.0,1540.0
35,CFD W4N2666PS-8G [SODIMM DDR4 PC4-21300 8GB 2枚組],https://kakaku.com/item/K0001078363/,8.0,2.0,16.0,DDR4SDRAM,S.O.DIMM,PC4-21300(DDR4-2666),4.0,6580.0
36,ADATA AX4U2666316G16-DBG [DDR4 PC4-21300 16GB 2枚組],https://kakaku.com/item/K0001163150/,16.0,2.0,32.0,DDR4SDRAM,DIMM,PC4-21300(DDR4-2666),4.0,11880.0
37,CFD D4U2666PS-4GC19 [DDR4 PC4-21300 4GB],https://kakaku.com/item/K0001068118/,4.0,1.0,4.0,DDR4SDRAM,DIMM,PC4-21300(DDR4-2666),4.0,2080.0
38,CFD W3N1600PS-L8G [SODIMM DDR3 PC3-12800 8GB 2枚組],https://kakaku.com/item/K0000637115/,8.0,2.0,16.0,DDR3SDRAM,S.O.DIMM,PC3-12800(DDR3-1600),3.0,5827.0
39,CFD W4U2400PS-8GC17 [DDR4 PC4-19200 8GB 2枚組],https://kakaku.com/item/K0001058422/,8.0,2.0,16.0,DDR4SDRAM,DIMM,PC4-19200(DDR4-2400),4.0,6198.0
40,トランセンド JetRam JM2666HSB-8G [SODIMM DDR4 PC4-21300 8GB],https://kakaku.com/item/K0001104594/,8.0,1.0,8.0,DDR4SDRAM,S.O.DIMM,PC4-21300(DDR4-2666),4.0,3580.0
41,CFD W4U3200PS-16G [DDR4 PC4-25600 16GB 2枚組],https://kakaku.com/item/K0001206913/,16.0,2.0,32.0,DDR4SDRAM,DIMM,PC4-25600(DDR4-3200),4.0,13178.0
42,G.Skill F4-3600C16D-32GVKC [DDR4 PC4-28800 16GB 2枚組],https://kakaku.com/item/K0001198735/,16.0,2.0,32.0,DDR4SDRAM,DIMM,PC4-28800(DDR4-3600),4.0,19100.0
43,ADATA AX4U320038G16-DB10 [DDR4 PC4-25600 8GB 2枚組],https://kakaku.com/item/K0001163153/,8.0,2.0,16.0,DDR4SDRAM,DIMM,PC4-25600(DDR4-3200),4.0,5980.0
44,CFD CFD Selection W4U3200CM-16G [DDR4 PC4-25600 16GB 2枚組],https://kakaku.com/item/K0001155291/,16.0,2.0,32.0,DDR4SDRAM,DIMM,PC4-25600(DDR4-3200),4.0,15378.0
45,Corsair CMK64GX4M2E3200C16 [DDR4 PC4-25600 32GB 2枚組],https://kakaku.com/item/K0001211813/,32.0,2.0,64.0,DDR4SDRAM,DIMM,PC4-25600(DDR4-3200),4.0,35850.0
46,CFD D3N1600PS-4G [SODIMM DDR3 PC3-12800 4GB],https://kakaku.com/item/K0000596708/,4.0,1.0,4.0,DDR3SDRAM,S.O.DIMM,PC3-12800(DDR3-1600),3.0,1506.0
47,CFD CFD Selection Gaming Sports W4U3000BMS-8G [DDR4 PC4-24000 8GB 2枚組],https://kakaku.com/item/K0001147474/,8.0,2.0,16.0,DDR4SDRAM,DIMM,PC4-24000(DDR4-3000),4.0,6908.0
48,CFD CFD Selection Gaming Sports W4U3000BMS-16G [DDR4 PC4-24000 16GB 2枚組],https://kakaku.com/item/K0001147473/,16.0,2.0,32.0,DDR4SDRAM,DIMM,PC4-24000(DDR4-3000),4.0,16931.0
49,G.Skill F4-3600C16Q-64GTZNC [DDR4 PC4-28800 16GB 4枚組],https://kakaku.com/item/K0001180982/,16.0,4.0,64.0,DDR4SDRAM,DIMM,PC4-28800(DDR4-3600),4.0,47905.0
50,ADATA AD4U266638G19-D [DDR4 PC4-21300 8GB 2枚組],https://kakaku.com/item/K0001105830/,8.0,2.0,16.0,DDR4SDRAM,DIMM,PC4-21300(DDR4-2666),4.0,6700.0
51,CFD W4U3200PS-8G [DDR4 PC4-25600 8GB 2枚組],https://kakaku.com/item/K0001206914/,8.0,2.0,16.0,DDR4SDRAM,DIMM,PC4-25600(DDR4-3200),4.0,6908.0
52,CFD CFD Selection D4N2400CM-8G [SODIMM DDR4 PC4-19200 8GB],https://kakaku.com/item/K0000905145/,8.0,1.0,8.0,DDR4SDRAM,S.O.DIMM,PC4-19200(DDR4-2400),4.0,3949.0
53,G.Skill F4-3600C16D-32GTZN [DDR4 PC4-28800 16GB 2枚組],https://kakaku.com/item/K0001180980/,16.0,2.0,32.0,DDR4SDRAM,DIMM,PC4-28800(DDR4-3600),4.0,35990.0
54,Silicon Power SP004GBLTU133N02 [DDR3 PC3-10600 4GB],https://kakaku.com/item/K0000868836/,4.0,1.0,4.0,DDR3SDRAM,DIMM,PC3-10600(DDR3-1333),3.0,2243.0
55,CFD D4N2666PS-16G [SODIMM DDR4 PC4-21300 16GB],https://kakaku.com/item/K0001046016/,16.0,1.0,16.0,DDR4SDRAM,S.O.DIMM,PC4-21300(DDR4-2666),4.0,6870.0
56,G.Skill F4-3600C16D-16GTZNC [DDR4 PC4-28800 8GB 2枚組],https://kakaku.com/item/K0001180971/,8.0,2.0,16.0,DDR4SDRAM,DIMM,PC4-28800(DDR4-3600),4.0,13989.0
57,CFD CFD Selection W4N2666CM-16GB [SODIMM DDR4 PC4-21300 16GB 2枚組],https://kakaku.com/item/K0001045991/,16.0,2.0,32.0,DDR4SDRAM,S.O.DIMM,PC4-21300(DDR4-2666),4.0,15964.0
58,CFD W4N2400PS-4G [SODIMM DDR4 PC4-19200 4GB 2枚組],https://kakaku.com/item/K0001045989/,4.0,2.0,8.0,DDR4SDRAM,S.O.DIMM,PC4-19200(DDR4-2400),4.0,3842.0
59,CFD D4U2666PS-16GC19 [DDR4 PC4-21300 16GB],https://kakaku.com/item/K0001083490/,16.0,1.0,16.0,DDR4SDRAM,DIMM,PC4-21300(DDR4-2666),4.0,6050.0
60,G.Skill F4-3600C18D-16GTZN [DDR4 PC4-28800 8GB 2枚組],https://kakaku.com/item/K0001180970/,8.0,2.0,16.0,DDR4SDRAM,DIMM,PC4-28800(DDR4-3600),4.0,11234.0
61,CFD CFD Selection W4U2666CM-16G [DDR4 PC4-21300 16GB 2枚組],https://kakaku.com/item/K0001022094/,16.0,2.0,32.0,DDR4SDRAM,DIMM,PC4-21300(DDR4-2666),4.0,13178.0
62,CFD CFD Selection D4N2400CM-16G [SODIMM DDR4 PC4-19200 16GB],https://kakaku.com/item/K0000905146/,16.0,1.0,16.0,DDR4SDRAM,S.O.DIMM,PC4-19200(DDR4-2400),4.0,7898.0
63,UMAX UM-DDR4S-2400-8GB [DDR4 PC4-19200 8GB],https://kakaku.com/item/K0001175356/,8.0,1.0,8.0,DDR4SDRAM,DIMM,PC4-19200(DDR4-2400),4.0,3150.0
64,トランセンド TS1GSH64V1H [SODIMM DDR4 PC4-17000 8GB],https://kakaku.com/item/K0000831241/,8.0,1.0,8.0,DDR4SDRAM,S.O.DIMM,PC4-17000(DDR4-2133),4.0,4980.0
65,トランセンド TS512MSH64V1H [SODIMM DDR4 PC4-17000 4GB],https://kakaku.com/item/K0000831240/,4.0,1.0,4.0,DDR4SDRAM,S.O.DIMM,PC4-17000(DDR4-2133),4.0,2780.0
66,CFD W4U2666PS-4GC19 [DDR4 PC4-21300 4GB 2枚組],https://kakaku.com/item/K0001068119/,4.0,2.0,8.0,DDR4SDRAM,DIMM,PC4-21300(DDR4-2666),4.0,4278.0
67,CFD CFD Selection W4U2666BMS-8G [DDR4 PC4-21300 8GB 2枚組],https://kakaku.com/item/K0001014634/,8.0,2.0,16.0,DDR4SDRAM,DIMM,PC4-21300(DDR4-2666),4.0,7898.0
68,G.Skill F4-4000C18D-16GVK [DDR4 PC4-32000 8GB 2枚組],https://kakaku.com/item/K0001198744/,8.0,2.0,16.0,DDR4SDRAM,DIMM,PC4-32000(DDR4-4000),4.0,10100.0
69,G.Skill F4-3200C16D-64GVK [DDR4 PC4-25600 32GB 2枚組],https://kakaku.com/item/K0001212034/,32.0,2.0,64.0,DDR4SDRAM,DIMM,PC4-25600(DDR4-3200),4.0,36700.0
70,ノーブランド SODIMM DDR3 PC3-8500 4GB,https://kakaku.com/item/K0000084488/,4.0,1.0,4.0,DDR3SDRAM,S.O.DIMM,PC3-8500(DDR3-1066),3.0,1860.0
71,CFD D4U2400PS-8GC17 [DDR4 PC4-19200 8GB],https://kakaku.com/item/K0001072982/,8.0,1.0,8.0,DDR4SDRAM,DIMM,PC4-19200(DDR4-2400),4.0,3491.0
72,キングストン KVR16LS11/8 [SODIMM DDR3L PC3L-12800 8GB],https://kakaku.com/item/K0000552536/,8.0,1.0,8.0,DDR3SDRAM,S.O.DIMM,PC3L-12800(DDR3L-1600),3.0,3758.0
73,CFD W3N1600PS-8G [SODIMM DDR3 PC3-12800 8GB 2枚組],https://kakaku.com/item/K0000596711/,8.0,2.0,16.0,DDR3SDRAM,S.O.DIMM,PC3-12800(DDR3-1600),3.0,5600.0
74,G.Skill F4-3200C14D-16GFX [DDR4 PC4-25600 8GB 2枚組],https://kakaku.com/item/K0000951904/,8.0,2.0,16.0,DDR4SDRAM,DIMM,PC4-25600(DDR4-3200),4.0,13981.0
75,G.Skill F4-3200C16D-32GTZRX [DDR4 PC4-25600 16GB 2枚組],https://kakaku.com/item/K0001056864/,16.0,2.0,32.0,DDR4SDRAM,DIMM,PC4-25600(DDR4-3200),4.0,18287.0
76,UMAX UM-DDR3D-1600-16GBHS [DDR3 PC3-12800 8GB 2枚組],https://kakaku.com/item/K0001175354/,8.0,2.0,16.0,DDR3SDRAM,DIMM,PC3-12800(DDR3-1600),3.0,6130.0
77,G.Skill F4-3200C16D-16GFX [DDR4 PC4-25600 8GB 2枚組],https://kakaku.com/item/K0001097723/,8.0,2.0,16.0,DDR4SDRAM,DIMM,PC4-25600(DDR4-3200),4.0,7660.0
78,Corsair CMK16GX4M2D3600C18 [DDR4 PC4-28800 8GB 2枚組],https://kakaku.com/item/K0001160905/,8.0,2.0,16.0,DDR4SDRAM,DIMM,PC4-28800(DDR4-3600),4.0,8280.0
79,G.Skill F4-3600C18D-16GTZRX [DDR4 PC4-28800 8GB 2枚組],https://kakaku.com/item/K0001056867/,8.0,2.0,16.0,DDR4SDRAM,DIMM,PC4-28800(DDR4-3600),4.0,10703.0
80,CFD W3N1600PS-4G [SODIMM DDR3 PC3-12800 4GB 2枚組],https://kakaku.com/item/K0000596710/,4.0,2.0,8.0,DDR3SDRAM,S.O.DIMM,PC3-12800(DDR3-1600),3.0,3080.0
81,UMAX UM-SODDR4S-2666-16G [SODIMM DDR4 PC4-21300 16GB],https://kakaku.com/item/K0001175383/,16.0,1.0,16.0,DDR4SDRAM,S.O.DIMM,PC4-21300(DDR4-2666),4.0,6130.0
82,Corsair CMW16GX4M2C3200C16 [DDR4 PC4-25600 8GB 2枚組],https://kakaku.com/item/K0001060998/,8.0,2.0,16.0,DDR4SDRAM,DIMM,PC4-25600(DDR4-3200),4.0,10978.0
83,G.Skill F4-3600C18D-32GTZN [DDR4 PC4-28800 16GB 2枚組],https://kakaku.com/item/K0001180978/,16.0,2.0,32.0,DDR4SDRAM,DIMM,PC4-28800(DDR4-3600),4.0,20600.0
84,キングストン KVR26S19S6/4 [SODIMM DDR4 PC4-21300 4GB],https://kakaku.com/item/K0001077404/,4.0,1.0,4.0,DDR4SDRAM,S.O.DIMM,PC4-21300(DDR4-2666),4.0,2393.0
85,Silicon Power SP008GBLTU160N22 [DDR3 PC3-12800 4GB 2枚組],https://kakaku.com/item/K0000660202/,4.0,2.0,8.0,DDR3SDRAM,DIMM,PC3-12800(DDR3-1600),3.0,3490.0
86,Team TED432G2666C1901 [DDR4 PC4-21300 32GB],https://kakaku.com/item/K0001203813/,32.0,1.0,32.0,DDR4SDRAM,DIMM,PC4-21300(DDR4-2666),4.0,16980.0
87,キングストン KVR16LS11/4 [SODIMM DDR3L PC3L-12800 4GB],https://kakaku.com/item/K0000552535/,4.0,1.0,4.0,DDR3SDRAM,S.O.DIMM,PC3L-12800(DDR3L-1600),3.0,2238.0
88,トランセンド JetRam JM2666HLB-8G [DDR4 PC4-21300 8GB],https://kakaku.com/item/K0001104592/,8.0,1.0,8.0,DDR4SDRAM,DIMM,PC4-21300(DDR4-2666),4.0,3580.0
89,CFD W4U2400PS-4GC17 [DDR4 PC4-19200 4GB 2枚組],https://kakaku.com/item/K0001058421/,4.0,2.0,8.0,DDR4SDRAM,DIMM,PC4-19200(DDR4-2400),4.0,3620.0
90,トランセンド JetRam JM2666HLB-16G [DDR4 PC4-21300 16GB],https://kakaku.com/item/K0001191987/,16.0,1.0,16.0,DDR4SDRAM,DIMM,PC4-21300(DDR4-2666),4.0,6646.0
91,CFD CFD Selection W4U2666CM-8G [DDR4 PC4-21300 8GB 2枚組],https://kakaku.com/item/K0001022093/,8.0,2.0,16.0,DDR4SDRAM,DIMM,PC4-21300(DDR4-2666),4.0,7678.0
92,CFD W4U3600HX1-8G [DDR4 PC4-28800 8GB 2枚組],https://kakaku.com/item/K0001196483/,8.0,2.0,16.0,DDR4SDRAM,DIMM,PC4-28800(DDR4-3600),4.0,9644.0
93,Corsair CMW16GX4M2A2666C16W [DDR4 PC4-21300 8GB 2枚組],https://kakaku.com/item/K0001063254/,8.0,2.0,16.0,DDR4SDRAM,DIMM,PC4-21300(DDR4-2666),4.0,10980.0
94,CFD D4U2400PS-4GC17 [DDR4 PC4-19200 4GB],https://kakaku.com/item/K0001072981/,4.0,1.0,4.0,DDR4SDRAM,DIMM,PC4-19200(DDR4-2400),4.0,2090.0
95,RAMMAX Technology RM-LD1600-D8GB [DDR3 PC3-12800 4GB 2枚組],https://kakaku.com/item/K0001187098/,4.0,2.0,8.0,DDR3SDRAM,DIMM,PC3-12800(DDR3-1600),3.0,2680.0
96,crucial CT8G4SFS824A [SODIMM DDR4 PC4-19200 8GB],https://kakaku.com/item/K0000881990/,8.0,1.0,8.0,DDR4SDRAM,S.O.DIMM,PC4-19200(DDR4-2400),4.0,3990.0
97,CFD CFD Selection W4U3200CM-8G [DDR4 PC4-25600 8GB 2枚組],https://kakaku.com/item/K0001155290/,8.0,2.0,16.0,DDR4SDRAM,DIMM,PC4-25600(DDR4-3200),4.0,7788.0
98,G.Skill F4-3200C16D-16GTZR [DDR4 PC4-25600 8GB 2枚組],https://kakaku.com/item/K0000936522/,8.0,2.0,16.0,DDR4SDRAM,DIMM,PC4-25600(DDR4-3200),4.0,10970.0
99,G.Skill F4-3200C16D-16GTZRX [DDR4 PC4-25600 8GB 2枚組],https://kakaku.com/item/K0001056862/,8.0,2.0,16.0,DDR4SDRAM,DIMM,PC4-25600(DDR4-3200),4.0,11172.0
100,G.Skill F4-3200C16D-32GTZR [DDR4 PC4-25600 16GB 2枚組],https://kakaku.com/item/K0001056860/,16.0,2.0,32.0,DDR4SDRAM,DIMM,PC4-25600(DDR4-3200),4.0,18287.0
101,Corsair CMW32GX4M2C3200C16W [DDR4 PC4-25600 16GB 2枚組],https://kakaku.com/item/K0001104653/,16.0,2.0,32.0,DDR4SDRAM,DIMM,PC4-25600(DDR4-3200),4.0,20600.0
102,G.Skill F4-3600C16Q-32GTZNC [DDR4 PC4-28800 8GB 4枚組],https://kakaku.com/item/K0001180975/,8.0,4.0,32.0,DDR4SDRAM,DIMM,PC4-28800(DDR4-3600),4.0,28600.0
103,RAMMAX Technology RM-SD1066-D8GB [SODIMM DDR3 PC3-8500 4GB 2枚組],https://kakaku.com/item/K0001187095/,4.0,2.0,8.0,DDR3SDRAM,S.O.DIMM,PC3-8500(DDR3-1066),3.0,3480.0
104,RAMMAX Technology RM-SD1600-D16GB [SODIMM DDR3 PC3-12800 8GB 2枚組],https://kakaku.com/item/K0001187084/,8.0,2.0,16.0,DDR3SDRAM,S.O.DIMM,PC3-12800(DDR3-1600),3.0,5310.0
105,G.Skill F4-3600C16Q-64GVKC [DDR4 PC4-28800 16GB 4枚組],https://kakaku.com/item/K0001198740/,16.0,4.0,64.0,DDR4SDRAM,DIMM,PC4-28800(DDR4-3600),4.0,36400.0
106,RAMMAX Technology RM-LD800-D4GB [DDR2 PC2-6400 2GB 2枚組],https://kakaku.com/item/K0001187088/,2.0,2.0,4.0,DDR2SDRAM,DIMM,PC2-6400(DDR2-800),2.0,2090.0
107,Silicon Power SP008GBSTU160N22 [SODIMM DDR3 PC3-12800 4GB 2枚組],https://kakaku.com/item/K0000664003/,4.0,2.0,8.0,DDR3SDRAM,S.O.DIMM,PC3-12800(DDR3-1600),3.0,3180.0
108,UMAX UM-DDR4D-2666-16GBHS [DDR4 PC4-21300 8GB 2枚組],https://kakaku.com/item/K0001175365/,8.0,2.0,16.0,DDR4SDRAM,DIMM,PC4-21300(DDR4-2666),4.0,6480.0
109,CFD CFD Selection W4N2400CM-8G [SODIMM DDR4 PC4-19200 8GB 2枚組],https://kakaku.com/item/K0000905148/,8.0,2.0,16.0,DDR4SDRAM,S.O.DIMM,PC4-19200(DDR4-2400),4.0,7559.0
110,CFD CFD Selection Gaming Sports W4U3200BMS-8G [DDR4 PC4-25600 8GB 2枚組],https://kakaku.com/item/K0001147472/,8.0,2.0,16.0,DDR4SDRAM,DIMM,PC4-25600(DDR4-3200),4.0,8580.0
111,Team TF8D416G3200HC16CDC01 [DDR4 PC4-25600 8GB 2枚組],https://kakaku.com/item/K0001152222/,8.0,2.0,16.0,DDR4SDRAM,DIMM,PC4-25600(DDR4-3200),4.0,8778.0
112,Silicon Power SP008GLSTU160N22 [SODIMM DDR3L PC3L-12800 4GB 2枚組],https://kakaku.com/item/K0000889323/,4.0,2.0,8.0,DDR3SDRAM,S.O.DIMM,PC3L-12800(DDR3L-1600),3.0,3180.0
113,crucial CT8G4DFS8266 [DDR4 PC4-21300 8GB],https://kakaku.com/item/K0000976479/,8.0,1.0,8.0,DDR4SDRAM,DIMM,PC4-21300(DDR4-2666),4.0,3840.0
114,トランセンド TS512MSK64V1N (SODIMM DDR3 PC3-8500 4GB),https://kakaku.com/item/K0000098274/,4.0,1.0,4.0,DDR3SDRAM,S.O.DIMM,PC3-8500(DDR3-1066),3.0,3850.0
115,G.Skill F4-2400C16D-8GRS [SODIMM DDR4 PC4-19200 4GB 2枚組],https://kakaku.com/item/K0001144988/,4.0,2.0,8.0,DDR4SDRAM,S.O.DIMM,PC4-19200(DDR4-2400),4.0,4180.0
116,G.Skill F4-3600C16D-16GTZN [DDR4 PC4-28800 8GB 2枚組],https://kakaku.com/item/K0001180972/,8.0,2.0,16.0,DDR4SDRAM,DIMM,PC4-28800(DDR4-3600),4.0,18990.0
117,Corsair CMW32GX4M2C3200C16 [DDR4 PC4-25600 16GB 2枚組],https://kakaku.com/item/K0001104652/,16.0,2.0,32.0,DDR4SDRAM,DIMM,PC4-25600(DDR4-3200),4.0,19980.0
118,UMAX UM-DDR3S-1600-8GB [DDR3 PC3-12800 8GB],https://kakaku.com/item/K0001175352/,8.0,1.0,8.0,DDR3SDRAM,DIMM,PC3-12800(DDR3-1600),3.0,2970.0
119,Silicon Power SP008GLSTU160N02 [SODIMM DDR3L PC3-12800 8GB],https://kakaku.com/item/K0000629533/,8.0,1.0,8.0,DDR3SDRAM,S.O.DIMM,PC3-12800(DDR3L-1600),3.0,3350.0
120,ADATA AD4U2666J4G19-D [DDR4 PC4-21300 4GB 2枚組],https://kakaku.com/item/K0001087980/,4.0,2.0,8.0,DDR4SDRAM,DIMM,PC4-21300(DDR4-2666),4.0,3955.0
121,Silicon Power SP016GBLTU160N22 [DDR3 PC3-12800 8GB 2枚組],https://kakaku.com/item/K0000442471/,8.0,2.0,16.0,DDR3SDRAM,DIMM,PC3-12800(DDR3-1600),3.0,6299.0
122,Silicon Power SP016GBSTU160N22 [SODIMM DDR3 PC3-12800 8GB 2枚組],https://kakaku.com/item/K0000442470/,8.0,2.0,16.0,DDR3SDRAM,S.O.DIMM,PC3-12800(DDR3-1600),3.0,6780.0
123,crucial CT16G4DFD832A [DDR4 PC4-25600 16GB],https://kakaku.com/item/K0001170782/,16.0,1.0,16.0,DDR4SDRAM,DIMM,PC4-25600(DDR4-3200),4.0,6990.0
124,G.Skill F4-2133C15D-16GNT [DDR4 PC4-17000 8GB 2枚組],https://kakaku.com/item/K0000821482/,8.0,2.0,16.0,DDR4SDRAM,DIMM,PC4-17000(DDR4-2133),4.0,7390.0
