,capacity_sum,generation,PRICE
330,4.0,3.0,2170.0
331,4.0,3.0,2415.0
332,4.0,3.0,2530.0
333,4.0,3.0,2570.0
334,8.0,4.0,3218.0
335,8.0,4.0,3280.0
336,8.0,3.0,3332.0
337,4.0,4.0,3390.0
338,8.0,3.0,3740.0
339,8.0,3.0,3980.0
340,8.0,3.0,4094.0
341,4.0,4.0,4160.0
342,8.0,3.0,4197.0
343,4.0,4.0,4444.0
344,8.0,3.0,4488.0
345,8.0,3.0,4600.0
346,8.0,4.0,4670.0
347,8.0,3.0,4930.0
348,8.0,4.0,6638.0
349,16.0,4.0,7109.0
350,16.0,4.0,7351.0
351,16.0,4.0,7458.0
352,16.0,4.0,7517.0
353,16.0,4.0,7600.0
354,16.0,4.0,7769.0
355,16.0,4.0,7780.0
356,16.0,4.0,7790.0
357,16.0,3.0,7945.0
358,8.0,4.0,7950.0
359,8.0,3.0,7960.0
360,16.0,4.0,8180.0
361,16.0,4.0,8980.0
362,16.0,4.0,9564.0
363,16.0,4.0,10100.0
364,16.0,3.0,10776.0
365,16.0,4.0,11490.0
366,16.0,4.0,12150.0
367,32.0,4.0,12210.0
368,32.0,4.0,12260.0
369,16.0,4.0,12283.0
370,32.0,4.0,12999.0
371,16.0,4.0,13228.0
372,16.0,4.0,13365.0
373,16.0,4.0,14828.0
374,32.0,4.0,15980.0
375,32.0,4.0,16100.0
376,32.0,3.0,16130.0
377,16.0,4.0,16258.0
378,32.0,4.0,18678.0
379,32.0,4.0,19800.0
380,16.0,4.0,19980.0
381,16.0,4.0,20450.0
382,32.0,4.0,20600.0
383,32.0,4.0,23290.0
384,32.0,4.0,24190.0
385,32.0,4.0,24190.0
386,32.0,4.0,27400.0
387,64.0,4.0,34100.0
388,32.0,4.0,39900.0
389,64.0,4.0,43949.0
390,64.0,4.0,45600.0
391,128.0,4.0,90500.0
392,2.0,3.0,1014.0
393,2.0,3.0,1090.0
394,2.0,2.0,1190.0
395,4.0,3.0,1846.0
396,4.0,4.0,1920.0
397,4.0,4.0,1980.0
398,4.0,3.0,1999.0
399,4.0,3.0,1999.0
400,4.0,3.0,2165.0
401,4.0,3.0,2165.0
402,4.0,3.0,2238.0
403,4.0,3.0,2550.0
404,4.0,4.0,3103.0
405,4.0,3.0,3130.0
406,2.0,2.0,3230.0
407,8.0,3.0,3490.0
408,4.0,4.0,3670.0
409,8.0,3.0,3890.0
410,8.0,4.0,3930.0
411,4.0,3.0,4100.0
412,8.0,4.0,4280.0
413,8.0,4.0,4609.0
414,4.0,3.0,4680.0
415,8.0,4.0,4730.0
416,8.0,3.0,4900.0
417,8.0,3.0,4928.0
418,8.0,4.0,4980.0
419,8.0,4.0,5210.0
420,4.0,3.0,5435.0
421,4.0,3.0,5689.0
422,8.0,3.0,5908.0
423,8.0,4.0,6150.0
424,16.0,4.0,6630.0
425,16.0,4.0,6670.0
426,16.0,4.0,7280.0
427,4.0,3.0,7354.0
428,16.0,3.0,7470.0
429,16.0,4.0,7480.0
430,16.0,4.0,7790.0
431,16.0,4.0,7850.0
432,8.0,4.0,7910.0
433,16.0,3.0,7914.0
434,8.0,4.0,7980.0
435,16.0,3.0,8070.0
436,16.0,4.0,8640.0
437,16.0,3.0,9000.0
438,16.0,4.0,9600.0
439,16.0,3.0,9820.0
440,16.0,4.0,9980.0
441,16.0,3.0,10776.0
442,16.0,3.0,11100.0
443,16.0,4.0,11130.0
444,16.0,4.0,11329.0
445,16.0,4.0,11329.0
446,16.0,4.0,11900.0
447,16.0,4.0,12100.0
448,8.0,4.0,13275.0
449,32.0,4.0,13627.0
450,32.0,4.0,13700.0
451,16.0,4.0,13800.0
452,32.0,4.0,14278.0
453,4.0,2.0,15180.0
454,32.0,4.0,17240.0
455,8.0,4.0,17288.0
456,16.0,4.0,18399.0
457,32.0,4.0,18941.0
458,32.0,4.0,19510.0
459,16.0,4.0,19778.0
460,32.0,4.0,20510.0
461,32.0,4.0,20600.0
462,16.0,4.0,20600.0
463,32.0,4.0,22290.0
464,32.0,4.0,22990.0
465,32.0,4.0,23100.0
466,32.0,4.0,25467.0
467,32.0,4.0,30500.0
468,16.0,4.0,30800.0
469,16.0,4.0,32700.0
470,16.0,4.0,34980.0
471,32.0,4.0,35000.0
472,64.0,4.0,38600.0
473,64.0,4.0,39736.0
474,32.0,4.0,39900.0
475,64.0,4.0,45581.0
476,64.0,4.0,59838.0
477,64.0,4.0,79400.0
478,64.0,4.0,80352.0
479,64.0,4.0,86570.0
480,64.0,4.0,89705.0
481,1.0,3.0,999.0
482,2.0,3.0,1029.0
483,1.0,1.0,1040.0
484,2.0,2.0,1060.0
485,2.0,2.0,1087.0
486,2.0,2.0,1260.0
487,4.0,3.0,1709.0
488,4.0,3.0,1799.0
489,4.0,3.0,1959.0
490,4.0,3.0,1999.0
491,2.0,3.0,2040.0
492,4.0,4.0,2094.0
493,4.0,2.0,2130.0
494,4.0,3.0,2180.0
495,4.0,4.0,2189.0
496,4.0,3.0,2190.0
497,4.0,3.0,2238.0
498,4.0,3.0,2255.0
499,4.0,4.0,2310.0
500,2.0,3.0,2376.0
501,2.0,3.0,2380.0
502,2.0,2.0,2500.0
503,2.0,3.0,2526.0
504,4.0,3.0,2570.0
505,2.0,3.0,2645.0
506,4.0,3.0,2728.0
507,4.0,3.0,2750.0
508,2.0,2.0,2755.0
509,4.0,4.0,2780.0
510,4.0,4.0,2780.0
511,4.0,3.0,2798.0
512,2.0,2.0,2911.0
513,2.0,3.0,2940.0
514,8.0,3.0,3118.0
515,4.0,4.0,3160.0
516,4.0,4.0,3190.0
517,4.0,3.0,3212.0
518,4.0,3.0,3245.0
519,8.0,3.0,3290.0
520,8.0,3.0,3359.0
521,4.0,3.0,3380.0
522,8.0,3.0,3740.0
523,8.0,4.0,3780.0
524,8.0,4.0,3780.0
525,4.0,3.0,3780.0
526,8.0,4.0,3790.0
527,8.0,4.0,3833.0
528,8.0,3.0,3890.0
529,8.0,3.0,3973.0
530,4.0,3.0,3980.0
531,2.0,3.0,4034.0
532,8.0,3.0,4040.0
533,4.0,3.0,4040.0
534,4.0,3.0,4040.0
535,8.0,4.0,4278.0
536,8.0,3.0,4280.0
537,4.0,3.0,4315.0
538,8.0,4.0,4320.0
539,8.0,4.0,4399.0
540,8.0,3.0,4480.0
541,8.0,4.0,4590.0
542,8.0,4.0,4680.0
543,8.0,4.0,4796.0
544,8.0,4.0,4907.0
545,8.0,4.0,4980.0
546,8.0,4.0,4980.0
547,4.0,3.0,4990.0
548,8.0,3.0,5140.0
549,8.0,3.0,5140.0
550,8.0,3.0,5210.0
551,4.0,3.0,5478.0
552,8.0,4.0,5620.0
553,8.0,4.0,5785.0
554,8.0,3.0,5800.0
555,8.0,4.0,6042.0
556,8.0,3.0,6090.0
557,2.0,2.0,6100.0
558,8.0,3.0,6175.0
559,4.0,3.0,6180.0
560,8.0,4.0,6510.0
561,8.0,4.0,6510.0
562,8.0,4.0,6670.0
563,16.0,4.0,6700.0
564,8.0,4.0,7340.0
565,16.0,4.0,7440.0
566,16.0,4.0,7480.0
567,16.0,4.0,7600.0
568,16.0,3.0,7770.0
569,16.0,4.0,7850.0
570,8.0,3.0,7980.0
571,16.0,4.0,7990.0
572,16.0,3.0,8070.0
573,8.0,3.0,8127.0
574,16.0,4.0,8413.0
575,8.0,3.0,8430.0
576,8.0,3.0,8550.0
577,16.0,4.0,8580.0
578,16.0,4.0,8620.0
579,16.0,4.0,8778.0
580,16.0,4.0,8980.0
581,16.0,4.0,8990.0
582,16.0,4.0,9093.0
583,16.0,4.0,9110.0
584,16.0,4.0,9660.0
585,16.0,4.0,9765.0
586,8.0,4.0,9875.0
587,16.0,4.0,10260.0
588,16.0,3.0,10500.0
589,16.0,3.0,10500.0
