,hdd_ssd,capacity,read_speed,write_speed,PRICE
167,1,240.0,2000.0,1200.0,10160
168,1,240.0,3000.0,1000.0,4950
169,1,240.0,3100.0,1050.0,5580
170,1,240.0,3200.0,1100.0,9655
171,1,250.0,370.0,200.0,6784
172,1,250.0,400.0,320.0,5594
173,1,250.0,415.0,365.0,9900
174,1,250.0,430.0,400.0,7678
175,1,250.0,450.0,450.0,11880
176,1,250.0,540.0,500.0,12980
177,1,250.0,540.0,520.0,6217
178,1,250.0,540.0,540.0,7560
179,1,250.0,550.0,520.0,4980
180,1,250.0,550.0,525.0,4818
181,1,250.0,555.0,515.0,3168
182,1,250.0,560.0,490.0,10480
183,1,250.0,560.0,500.0,11226
184,1,250.0,560.0,510.0,4680
185,1,250.0,1000.0,900.0,10715
186,1,250.0,1700.0,1300.0,5680
187,1,250.0,2000.0,1100.0,8779
188,1,250.0,2000.0,1200.0,4279
189,1,250.0,3100.0,1600.0,7204
190,1,250.0,3400.0,1500.0,6980
191,1,250.0,3500.0,2300.0,9130
192,1,256.0,80.0,60.0,24694
193,1,256.0,110.0,95.0,17270
194,1,256.0,112.0,90.0,16500
195,1,256.0,400.0,400.0,5900
196,1,256.0,410.0,380.0,9750
197,1,256.0,440.0,430.0,4680
198,1,256.0,450.0,245.0,12980
199,1,256.0,450.0,440.0,8646
200,1,256.0,500.0,280.0,17130
201,1,256.0,500.0,450.0,10800
202,1,256.0,500.0,500.0,19000
203,1,256.0,510.0,400.0,3980
204,1,256.0,530.0,400.0,4980
205,1,256.0,530.0,450.0,3704
206,1,256.0,550.0,340.0,11180
207,1,256.0,550.0,400.0,5780
208,1,256.0,550.0,450.0,3685
209,1,256.0,550.0,500.0,5480
210,1,256.0,550.0,510.0,3350
211,1,256.0,550.0,520.0,3545
212,1,256.0,550.0,525.0,4939
213,1,256.0,555.0,500.0,9949
214,1,256.0,556.0,515.0,2948
215,1,256.0,560.0,310.0,12980
216,1,256.0,560.0,320.0,11480
217,1,256.0,560.0,440.0,3480
218,1,256.0,560.0,460.0,11970
219,1,256.0,560.0,500.0,4380
220,1,256.0,560.0,510.0,3608
221,1,256.0,560.0,520.0,4780
222,1,256.0,560.0,530.0,11183
223,1,256.0,570.0,470.0,26740
224,1,256.0,763.0,616.0,33036
225,1,256.0,770.0,580.0,22467
226,1,256.0,1570.0,540.0,7038
227,1,256.0,1627.0,1262.0,3480
228,1,256.0,1700.0,1500.0,4580
229,1,256.0,1730.0,1000.0,4730
230,1,256.0,1800.0,900.0,3480
231,1,256.0,2000.0,1100.0,8250
232,1,256.0,2100.0,1200.0,4290
233,1,256.0,2200.0,900.0,30580
234,1,256.0,3000.0,1000.0,5480
235,1,256.0,3090.0,1035.0,5280
236,1,256.0,3090.0,1040.0,9775
237,1,256.0,3100.0,1050.0,9142
238,1,256.0,3210.0,1315.0,6971
239,1,256.0,3400.0,1100.0,9056
240,1,256.0,3500.0,1100.0,5480
241,1,256.0,3500.0,1200.0,5025
242,1,256.0,3500.0,2200.0,24217
243,1,280.0,2500.0,2000.0,46749
244,1,320.0,522.0,487.0,8143
245,1,320.0,530.0,450.0,5480
246,1,360.0,530.0,450.0,4223
247,1,360.0,540.0,490.0,10980
248,1,360.0,550.0,480.0,5360
249,1,360.0,560.0,480.0,11718
250,1,360.0,570.0,490.0,7618
251,1,375.0,2400.0,2000.0,235427
252,1,480.0,300.0,200.0,7749
253,1,480.0,340.0,320.0,6679
254,1,480.0,350.0,300.0,6880
255,1,480.0,350.0,350.0,8580
256,1,480.0,360.0,360.0,24170
257,1,480.0,400.0,300.0,8980
258,1,480.0,400.0,390.0,7968
259,1,480.0,400.0,400.0,28780
260,1,480.0,410.0,400.0,9090
261,1,480.0,421.6,370.0,7880
262,1,480.0,430.0,400.0,22480
263,1,480.0,430.0,430.0,16296
264,1,480.0,440.0,430.0,6908
265,1,480.0,500.0,430.0,13505
266,1,480.0,500.0,450.0,5640
267,1,480.0,500.0,480.0,10450
268,1,480.0,520.0,450.0,4999
269,1,480.0,520.0,460.0,9980
270,1,480.0,520.0,500.0,5477
271,1,480.0,525.0,465.0,5680
272,1,480.0,530.0,450.0,6135
273,1,480.0,530.0,460.0,8777
274,1,480.0,530.0,500.0,5375
275,1,480.0,535.0,445.0,6041
276,1,480.0,538.0,491.0,9020
277,1,480.0,540.0,500.0,5791
278,1,480.0,550.0,470.0,38280
279,1,480.0,550.0,480.0,5469
280,1,480.0,550.0,490.0,7700
281,1,480.0,550.0,500.0,7720
282,1,480.0,550.0,520.0,6430
283,1,480.0,550.0,530.0,9246
284,1,480.0,560.0,450.0,5038
285,1,480.0,560.0,480.0,5979
286,1,480.0,560.0,490.0,15510
287,1,480.0,560.0,500.0,5940
288,1,480.0,560.0,510.0,5590
289,1,480.0,560.0,520.0,11675
290,1,480.0,570.0,460.0,24800
291,1,480.0,570.0,470.0,15980
292,1,480.0,750.0,700.0,15800
293,1,480.0,850.0,850.0,19530
294,1,480.0,950.0,800.0,22126
295,1,480.0,1000.0,900.0,13624
296,1,480.0,1050.0,950.0,13480
297,1,480.0,1400.0,750.0,22270
298,1,480.0,1500.0,900.0,9900
299,1,480.0,1500.0,1300.0,6680
300,1,480.0,1600.0,1040.0,11436
301,1,480.0,1600.0,1300.0,21832
302,1,480.0,2500.0,2000.0,71599
303,1,480.0,2600.0,2200.0,77936
