0,SP,m_cap,m_bus,m_clock,PRICE
295,2176.0,8.0,256.0,14.0,55800.0
296,2560.0,8.0,256.0,14.0,57178.0
298,3072.0,8.0,256.0,15.5,98987.0
303,768.0,4.0,128.0,7.007999999999999,19039.0
305,2048.0,8.0,256.0,7.0,27674.0
307,1536.0,6.0,192.0,12.0,36418.0
308,1920.0,6.0,192.0,14.0,40217.0
309,2304.0,8.0,256.0,14.0,41717.0
310,2304.0,8.0,256.0,14.0,43430.0
311,2560.0,8.0,256.0,14.0,49970.0
312,1920.0,6.0,192.0,14.0,50400.0
313,2304.0,8.0,256.0,14.0,64980.0
314,2560.0,8.0,256.0,14.0,65978.0
315,2304.0,8.0,256.0,14.0,70560.0
318,3072.0,8.0,256.0,15.5,94145.0
319,2944.0,8.0,256.0,14.0,108352.0
320,2944.0,8.0,256.0,14.0,109174.0
325,192.0,2.0,64.0,1.6,4977.0
331,640.0,2.0,128.0,7.007999999999999,14410.0
332,768.0,4.0,128.0,7.007999999999999,14980.0
335,768.0,4.0,128.0,7.108,30350.0
336,1280.0,6.0,192.0,8.107999999999999,32634.0
337,2304.0,8.0,256.0,8.0,35445.0
338,1920.0,6.0,192.0,14.0,36680.0
339,1536.0,6.0,192.0,12.0,36872.0
340,1920.0,6.0,192.0,14.0,44077.0
341,2304.0,8.0,256.0,14.0,44876.0
342,2304.0,8.0,256.0,14.0,48950.0
344,2304.0,8.0,256.0,14.0,55800.0
346,2304.0,8.0,256.0,14.0,61957.0
348,2560.0,8.0,256.0,14.0,67848.0
349,2304.0,8.0,256.0,14.0,68227.0
351,2944.0,8.0,256.0,14.0,76978.0
352,2944.0,8.0,256.0,14.0,88780.0
353,2944.0,8.0,256.0,14.0,97900.0
354,2944.0,8.0,256.0,14.0,102884.0
356,3072.0,8.0,256.0,15.5,143000.0
357,4352.0,11.0,352.0,14.0,148400.0
358,4352.0,11.0,352.0,14.0,159246.0
367,192.0,1.0,64.0,1.6,4708.0
375,896.0,4.0,128.0,8.002,16980.0
380,1152.0,3.0,192.0,8.0,27517.0
385,1280.0,6.0,192.0,8.0,32619.0
387,2304.0,8.0,256.0,8.4,34480.0
388,2304.0,8.0,256.0,14.0,37980.0
389,2304.0,8.0,256.0,14.0,39800.0
393,1920.0,6.0,192.0,14.0,46500.0
394,2304.0,8.0,256.0,14.0,46739.0
396,1920.0,6.0,192.0,14.0,47800.0
397,2560.0,8.0,256.0,14.0,48378.0
398,2176.0,8.0,256.0,14.0,48800.0
399,2304.0,8.0,256.0,2.0,52668.0
401,1920.0,6.0,192.0,14.14,55952.0
403,2432.0,8.0,256.0,8.008,70435.0
404,2048.0,4.0,256.0,7.01,71279.0
405,2304.0,8.0,256.0,14.0,72315.0
406,2304.0,8.0,256.0,14.0,81294.0
409,2944.0,8.0,256.0,14.0,88880.0
410,2944.0,8.0,256.0,14.0,89800.0
411,2944.0,8.0,256.0,14.0,90605.0
412,3072.0,8.0,256.0,15.5,92700.0
416,4352.0,11.0,352.0,14.0,149380.0
417,4352.0,11.0,352.0,14.0,152943.0
469,384.0,1.0,64.0,1.8,12635.0
470,512.0,2.0,128.0,6.0,13811.0
473,896.0,4.0,128.0,7.0,16734.0
476,640.0,2.0,128.0,7.007999999999999,17712.0
478,640.0,2.0,128.0,7.007999999999999,18460.0
480,2048.0,4.0,256.0,7.0,20372.0
483,768.0,4.0,128.0,7.0,21912.0
484,1280.0,4.0,128.0,12.0,21980.0
487,2304.0,8.0,256.0,7.0,24263.0
488,1408.0,6.0,192.0,8.008,25048.0
492,2048.0,8.0,256.0,7.0,27633.0
494,2304.0,8.0,256.0,8.0,28673.0
498,2048.0,4.0,256.0,7.0,33000.0
499,1152.0,3.0,192.0,8.008,33308.0
502,1280.0,6.0,192.0,8.008,35823.0
504,1280.0,6.0,192.0,8.008,37346.0
505,2304.0,8.0,256.0,8.0,37650.0
507,1920.0,6.0,192.0,14.0,44940.0
511,1280.0,6.0,192.0,8.008,47694.0
515,1280.0,6.0,192.0,8.208,50897.0
518,2432.0,8.0,256.0,8.0,58119.0
521,1920.0,8.0,256.0,8.008,62399.0
522,2304.0,8.0,256.0,14.0,64565.0
524,2304.0,8.0,256.0,14.0,65790.0
526,2432.0,8.0,256.0,8.008,68200.0
527,2304.0,8.0,256.0,14.0,69800.0
528,2304.0,8.0,256.0,14.0,73146.0
529,2048.0,4.0,256.0,7.01,73480.0
533,2944.0,8.0,256.0,14.0,81100.0
534,2304.0,8.0,256.0,14.142000000000001,83283.0
535,2304.0,8.0,256.0,14.0,86386.0
537,3584.0,8.0,2048.0,0.8,89298.0
538,2944.0,8.0,256.0,14.0,93478.0
539,2048.0,4.0,256.0,7.01,94000.0
543,2944.0,8.0,256.0,14.0,97680.0
544,2304.0,8.0,256.0,14.0,98978.0
545,2944.0,8.0,256.0,14.0,98978.0
546,3584.0,11.0,352.0,11.0,99880.0
548,2944.0,8.0,256.0,14.4,100980.0
549,4096.0,8.0,2048.0,0.945,102461.0
550,2944.0,8.0,256.0,14.0,104720.0
551,2944.0,8.0,256.0,14.14,109796.0
553,2944.0,8.0,256.0,14.0,114852.0
555,2944.0,8.0,256.0,14.0,121363.0
