,name,url,capacity,read_speed,write_speed,std_size,interface,type,thikness,PRICE
32,バッファロー SSD-PL120U3-BK,https://kakaku.com/item/K0000961672/,120.0,340.0,200.0,0,USB,0,0,4796
33,バッファロー SSD-PL120U3-BK/N [ブラック],https://kakaku.com/item/K0000986770/,120.0,340.0,320.0,0,USB,0,0,3380
34,エレコム ESD-EA0120GRD [レッド],https://kakaku.com/item/K0000909920/,120.0,350.0,60.0,0,USB,TLC,0,5370
35,エレコム ESD-JEC0120GBK [ブラック],https://kakaku.com/item/K0001082288/,120.0,350.0,350.0,0,USB,TLC,0,3780
36,グリーンハウス GH-SSDU3C120,https://kakaku.com/item/K0001222102/,120.0,380.0,340.0,0,USB,TLC,0,3999
37,HI-DISC HDEXSSD120GPM10TD,https://kakaku.com/item/K0001055857/,120.0,400.0,300.0,0,USB,0,0,3180
38,KingFast F6 PRO 2710DCS23-120,https://kakaku.com/item/K0001004406/,120.0,400.0,390.0,2.5インチ,SerialATA6Gb/s,TLCNAND,7mm,3276
39,グリーンハウス GH-SSDU3B120,https://kakaku.com/item/K0000931278/,120.0,400.0,400.0,0,USB,TLC,0,10780
40,エレコム ESD-EC0120GBK [ブラック],https://kakaku.com/item/K0001038557/,120.0,410.0,400.0,0,USB,TLC,0,3208
41,SANDISK エクストリーム 500 SDSSDEXT-120G-G25,https://kakaku.com/item/K0000859655/,120.0,415.0,340.0,0,USB,0,0,9929
42,バッファロー SSD-PM120U3A-B [ブラック],https://kakaku.com/item/K0000959497/,120.0,421.6,370.0,0,USB,0,0,2979
43,Corsair Force Series LE200 CSSD-F120GBLE200B,https://kakaku.com/item/K0001060405/,120.0,470.0,450.0,2.5インチ,SerialATA6Gb/s,TLCNAND,7mm,7150
44,KINGMAX KM120GSMV32,https://kakaku.com/item/K0001043869/,120.0,500.0,300.0,2.5インチ,SerialATA6Gb/s,TLC,7mm,1993
45,キングストン A400 SSD SA400S37/120G,https://kakaku.com/item/K0000956839/,120.0,500.0,320.0,2.5インチ,SerialATA6Gb/s,TLC,7mm,2821
46,グリーンハウス GH-SSDR2SA120,https://kakaku.com/item/K0001083589/,120.0,500.0,400.0,2.5インチ,SerialATA6Gb/s,TLC,7mm,1949
47,Silicon Power Bolt B80 SP120GBPSDB80SCS [シルバー],https://kakaku.com/item/K0001034101/,120.0,500.0,450.0,0,USB,0,0,8456
48,addlink S20 ad120GBS20S3S,https://kakaku.com/item/K0001217878/,120.0,510.0,400.0,2.5インチ,SerialATA6Gb/s,3DTLCNAND,7mm,2480
49,グリーンハウス GH-SSD32E120,https://kakaku.com/item/K0000827664/,120.0,520.0,200.0,2.5インチ,SerialATA6Gb/s,MLC,7mm,10280
50,ADATA Ultimate SU650 ASU650SS-120GT-R,https://kakaku.com/item/K0001090766/,120.0,520.0,320.0,2.5インチ,SerialATA6Gb/s,3DNAND,7mm,2200
51,トランセンド SSD220 TS120GSSD220S,https://kakaku.com/item/K0000883279/,120.0,520.0,450.0,2.5インチ,SerialATA6Gb/s,3DNANDTLC,6.8mm,2780
52,トランセンド TS120GESD240C [シルバー],https://kakaku.com/item/K0001160385/,120.0,520.0,460.0,0,USB,3DNAND,0,4980
53,OCZ AGT3-25SAT3-120G,https://kakaku.com/item/K0000251016/,120.0,525.0,500.0,2.5インチ,SerialATA6Gb/s,MLC,9.3mm,5863
54,SANDISK SSD PLUS SDSSDA-120G-G27,https://kakaku.com/item/K0001041037/,120.0,530.0,310.0,2.5インチ,SerialATA6Gb/s,0,7mm,2506
