0,name,url,capacity,read_speed,write_speed,std_size,interface,type,thikness,PRICE
427,トランセンド TS128GMTS830S,https://kakaku.com/item/K0001133995/,128.0,560.0,520.0,M.2(Type2280),SerialATA6Gb/s,3DNAND,3.58mm,3580
428,トランセンド TS128GMTS430S,https://kakaku.com/item/K0001133992/,128.0,560.0,500.0,M.2(Type2242),SerialATA6Gb/s,3DNAND,3.58mm,3780
429,addlink S20 ad256GBS20S3S,https://kakaku.com/item/K0001217879/,256.0,510.0,400.0,2.5インチ,SerialATA6Gb/s,3DTLCNAND,7mm,3980
430,トランセンド TS128GMSA230S,https://kakaku.com/item/K0001121788/,128.0,550.0,400.0,mSATA,SerialATA6Gb/s,3DNAND,4.85mm,4020
431,ADATA Ultimate SU800 M.2 2280 ASU800NS38-128GT-C,https://kakaku.com/item/K0000921327/,128.0,560.0,300.0,M.2(Type2280),SerialATA6Gb/s,3DTLC,3.5mm,4050
432,トランセンド TS64GMTS600,https://kakaku.com/item/K0000669341/,64.0,560.0,310.0,M.2(Type2260),SerialATA6Gb/s,MLC,3.5mm,4138
433,キングストン UV500 SSD SUV500M8/120G,https://kakaku.com/item/K0001051556/,120.0,520.0,320.0,M.2(Type2280),SerialATA6Gb/s,3DTLC,3.5mm,4231
434,エレコム ESD-JEC0240GBK [ブラック],https://kakaku.com/item/K0001082290/,240.0,350.0,350.0,0,USB,TLC,0,4280
435,バッファロー SSD-PM240U3A-S [シルバー],https://kakaku.com/item/K0000959498/,240.0,421.6,370.0,0,USB,0,0,4318
436,CFD CSSD-S6O240CG3VP,https://kakaku.com/item/K0001048911/,240.0,550.0,530.0,2.5インチ,SerialATA6Gb/s,3DNANDTLC,7mm,4352
437,バッファロー SSD-PL240U3-BK,https://kakaku.com/item/K0000961671/,240.0,340.0,320.0,0,USB,0,0,4418
438,Colorful SL300 160G PINK Limited Edition [PINK],https://kakaku.com/item/K0001043015/,160.0,530.0,450.0,2.5インチ,SerialATA6Gb/s,3DTLCNAND,7mm,4488
439,トランセンド TS120GESD240C [シルバー],https://kakaku.com/item/K0001160385/,120.0,520.0,460.0,0,USB,3DNAND,0,4980
440,トランセンド TS256GMTS832S,https://kakaku.com/item/K0001211725/,256.0,530.0,400.0,M.2(Type2280),SerialATA6Gb/s,3DNAND,2.23mm,4980
441,PLEXTOR S3C PX-256S3C,https://kakaku.com/item/K0000972288/,256.0,550.0,510.0,2.5インチ,SerialATA6Gb/s,TLC,6.8mm,5075
444,サムスン 860 EVO M.2 MZ-N6E250B/IT,https://kakaku.com/item/K0001027998/,250.0,550.0,520.0,M.2(Type2280),SerialATA6Gb/s,V-NAND3bitMLC,2.38mm,6511
446,トランセンド TS240GESD230C [ブラック],https://kakaku.com/item/K0001127440/,240.0,520.0,460.0,2.5インチ,USB,3DNAND,0,6850
447,ADATA Ultimate SU800 ASU800SS-256GT-C,https://kakaku.com/item/K0000903568/,256.0,560.0,520.0,2.5インチ,SerialATA6Gb/s,3DTLC,7mm,7020
448,SUPER TALENT FE8064MD2D,https://kakaku.com/item/K0000685153/,64.0,110.0,95.0,2.5インチ,IDE,MLC,9.5mm,7480
449,AGI AGI640G06AI138,https://kakaku.com/item/K0001051708/,640.0,533.0,476.0,2.5インチ,SerialATA6Gb/s,3DNAND,7mm,7570
450,エレコム ESD-EF0250GBK [ブラック],https://kakaku.com/item/K0001188702/,250.0,430.0,400.0,0,USB,0,0,7678
451,エレコム ESD-EF0250GNV [ネイビー],https://kakaku.com/item/K0001188703/,250.0,430.0,400.0,0,USB,0,0,7678
453,IODATA SSPG-USC500NV/E,https://kakaku.com/item/K0001222505/,500.0,530.0,490.0,0,USB,0,0,7900
454,CFD CFD EX. CSSD-S6i256HG7V,https://kakaku.com/item/K0001028580/,256.0,550.0,500.0,2.5インチ,SerialATA6Gb/s,3DNANDTLC,7mm,8118
455,エレコム ESD-EJ0500GBK [ブラック],https://kakaku.com/item/K0001214596/,500.0,400.0,320.0,0,USB,0,0,8793
457,サムスン 850 EVO MZ-75E250B/IT,https://kakaku.com/item/K0000725581/,250.0,540.0,520.0,2.5インチ,SerialATA6Gb/s,3DV-NAND,6.8mm,8998
459,エレコム ESD-EC0480GWH [ホワイト],https://kakaku.com/item/K0001152654/,480.0,410.0,400.0,0,USB,TLC,0,9089
460,GIGABYTE AORUS GP-ASM2NE2256GTTDR,https://kakaku.com/item/K0001152202/,256.0,3100.0,1050.0,M.2(Type2280),PCI-Express,3DTLC,8.1mm,9142
461,サムスン 860 EVO mSATA MZ-M6E250B/IT,https://kakaku.com/item/K0001027994/,250.0,550.0,520.0,mSATA,SerialATA6Gb/s,V-NAND3bitMLC,3.85mm,9368
463,ロジテック 【直販モデル】 LMD-SM256UC,https://kakaku.com/item/K0001220796/,256.0,3090.0,1035.0,0,PCI-Express,0,0,9900
464,Apacer AS340 AP960GAS340G-1,https://kakaku.com/item/K0001211578/,960.0,550.0,510.0,2.5インチ,SerialATA6Gb/s,3DTLC,7mm,9980
465,トランセンド TS64GPSD330,https://kakaku.com/item/K0000505985/,64.0,115.0,64.0,2.5インチ,IDE,MLC,7.4mm,10644
466,トランセンド TS128GMTS400,https://kakaku.com/item/K0000669338/,128.0,560.0,160.0,M.2(Type2242),SerialATA6Gb/s,MLC,3.5mm,10794
467,トランセンド MTS800 TS256GMTS800S,https://kakaku.com/item/K0001018672/,256.0,500.0,450.0,M.2(Type2280),SerialATA6Gb/s,NANDMLC,3.58mm,10800
468,Corsair Force Series MP300 CSSD-F480GBMP300,https://kakaku.com/item/K0001076919/,480.0,1600.0,1040.0,M.2(Type2280),PCI-Express,3DTLCNAND,0,11402
469,crucial BX500 CT960BX500SSD1,https://kakaku.com/item/K0001207972/,960.0,540.0,500.0,2.5インチ,SerialATA6Gb/s,3DNAND,7mm,11550
470,トランセンド MTS400 TS256GMTS400S,https://kakaku.com/item/K0001018676/,256.0,560.0,460.0,M.2(Type2242),SerialATA6Gb/s,NANDMLC,3.58mm,11970
471,KingSpec P3-1TB,https://kakaku.com/item/K0001042818/,1000.0,570.0,550.0,2.5インチ,SerialATA6Gb/s,3DTLC,7mm,12455
472,Silicon Power Bolt B75 SP010TBPSDB75SCS [シルバー],https://kakaku.com/item/K0001166503/,1000.0,440.0,430.0,0,USB,0,0,12800
473,エレコム ESD-ED0960GBK [ブラック],https://kakaku.com/item/K0001152652/,960.0,300.0,200.0,0,USB,TLC,0,12800
474,トランセンド TS480GESD350C [ネイビーブルー],https://kakaku.com/item/K0001162152/,480.0,1050.0,950.0,0,USB,3DNAND,0,13480
