0,read_speed,write_speed,PRICE
819,530.0,460.0,13978
820,560.0,520.0,13980
822,500.0,450.0,14239
824,80.0,60.0,14448
825,400.0,400.0,14583
826,1850.0,570.0,14778
827,570.0,460.0,14980
828,570.0,460.0,14980
829,550.0,500.0,15229
830,400.0,320.0,15598
831,520.0,460.0,15699
833,750.0,700.0,15800
834,430.0,430.0,16296
839,2650.0,1450.0,17073
840,560.0,520.0,17110
841,500.0,280.0,17130
842,110.0,95.0,17270
843,520.0,400.0,17280
844,3200.0,1700.0,17295
845,550.0,520.0,17315
846,550.0,520.0,17315
847,550.0,520.0,17347
848,430.0,430.0,17710
849,1000.0,900.0,17849
850,550.0,500.0,17980
851,560.0,510.0,18231
853,530.0,510.0,18473
854,425.0,425.0,18480
856,3200.0,1800.0,18600
857,500.0,500.0,19000
858,560.0,310.0,19124
861,540.0,530.0,19405
862,850.0,850.0,19530
864,560.0,500.0,19802
865,550.0,460.0,19940
866,535.0,455.0,20405
867,500.0,450.0,20980
868,560.0,560.0,21180
869,410.0,400.0,21219
870,1600.0,1080.0,21262
871,560.0,500.0,21625
872,400.0,400.0,21800
873,430.0,400.0,21970
875,270.0,250.0,22400
876,430.0,400.0,22480
877,550.0,500.0,22788
878,410.0,380.0,23300
880,500.0,500.0,23426
881,340.0,320.0,23800
882,1775.0,560.0,23941
883,550.0,500.0,23958
884,1500.0,1000.0,24182
886,560.0,480.0,24482
887,80.0,60.0,24694
888,500.0,450.0,24800
890,570.0,460.0,24980
892,560.0,500.0,25223
893,3200.0,2100.0,25442
894,560.0,310.0,25442
896,570.0,470.0,26740
897,380.0,340.0,26784
898,430.0,400.0,27280
899,410.0,380.0,27986
900,1000.0,950.0,28331
901,400.0,400.0,28780
902,850.0,850.0,29390
903,750.0,700.0,29800
907,550.0,520.0,31727
908,535.0,450.0,31900
909,763.0,616.0,33036
910,550.0,450.0,33690
912,2450.0,1000.0,34497
913,560.0,525.0,34723
914,560.0,460.0,34920
915,550.0,500.0,35090
916,3150.0,1700.0,35627
917,520.0,500.0,35780
918,400.0,400.0,36097
921,2450.0,1000.0,37731
922,560.0,510.0,37875
923,550.0,500.0,37950
924,2800.0,2100.0,38072
926,540.0,520.0,38500
928,560.0,510.0,39042
930,450.0,450.0,39578
931,560.0,560.0,39654
932,500.0,450.0,39702
933,560.0,460.0,39800
