0,clock,core,thread,is_L2,L2,is_L3,L3,is_smart_cache,smart_cache,PRICE
103,3.4,6.0,12.0,0.0,0.0,0.0,0.0,1.0,12000.0,36519.0
104,1.7,8.0,8.0,0.0,0.0,0.0,0.0,1.0,20000.0,36647.0
105,3.4,4.0,8.0,0.0,0.0,0.0,0.0,1.0,8000.0,37980.0
106,3.2,6.0,12.0,0.0,0.0,0.0,0.0,1.0,12000.0,39980.0
107,2.1,8.0,16.0,0.0,0.0,0.0,0.0,1.0,20000.0,50709.0
108,2.2,10.0,20.0,0.0,0.0,1.0,13750.0,0.0,0.0,88300.0
109,2.6,18.0,36.0,0.0,0.0,1.0,24750.0,0.0,0.0,166980.0
110,3.0,32.0,64.0,1.0,16000.0,1.0,64000.0,0.0,0.0,214800.0
111,2.6,18.0,36.0,0.0,0.0,1.0,25000.0,0.0,0.0,311980.0
115,3.6,2.0,4.0,0.0,0.0,1.0,3000.0,0.0,0.0,11055.0
116,3.6,6.0,12.0,1.0,3000.0,1.0,16000.0,0.0,0.0,16553.0
117,3.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,6000.0,21714.0
119,3.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,8000.0,25260.0
120,3.4,4.0,4.0,0.0,0.0,0.0,0.0,1.0,8000.0,25852.0
121,2.7,4.0,4.0,0.0,0.0,0.0,0.0,1.0,6000.0,27060.0
122,2.8,4.0,4.0,0.0,0.0,0.0,0.0,1.0,6000.0,29890.0
123,3.6,6.0,6.0,0.0,0.0,0.0,0.0,1.0,9000.0,31900.0
125,3.4,4.0,8.0,0.0,0.0,0.0,0.0,1.0,8000.0,45000.0
126,3.6,8.0,16.0,0.0,0.0,1.0,11000.0,0.0,0.0,51480.0
127,2.2,10.0,20.0,0.0,0.0,1.0,14000.0,0.0,0.0,62490.0
128,2.2,10.0,20.0,0.0,0.0,0.0,0.0,1.0,30000.0,80959.0
129,2.9,12.0,24.0,0.0,0.0,1.0,16500.0,0.0,0.0,99880.0
130,3.7,6.0,12.0,0.0,0.0,1.0,8250.0,0.0,0.0,104590.0
131,2.1,16.0,32.0,0.0,0.0,0.0,0.0,1.0,40000.0,229899.0
134,3.9,2.0,4.0,0.0,0.0,0.0,0.0,1.0,4000.0,10945.0
136,3.6,2.0,2.0,0.0,0.0,0.0,0.0,1.0,3000.0,12485.0
137,3.7,2.0,4.0,0.0,0.0,1.0,3000.0,0.0,0.0,12485.0
141,3.3,2.0,4.0,0.0,0.0,0.0,0.0,1.0,4000.0,19635.0
142,3.7,4.0,4.0,0.0,0.0,0.0,0.0,1.0,8000.0,19635.0
143,3.2,2.0,4.0,0.0,0.0,0.0,0.0,1.0,3000.0,19955.0
144,3.9,2.0,4.0,0.0,0.0,0.0,0.0,1.0,4000.0,21065.0
145,2.7,4.0,4.0,0.0,0.0,0.0,0.0,1.0,6000.0,22622.0
146,3.3,4.0,4.0,0.0,0.0,0.0,0.0,1.0,8000.0,24859.0
147,2.4,4.0,4.0,0.0,0.0,0.0,0.0,1.0,6000.0,25025.0
148,1.7,6.0,6.0,0.0,0.0,1.0,8250.0,0.0,0.0,26839.0
149,3.4,4.0,4.0,0.0,0.0,0.0,0.0,1.0,6000.0,27060.0
150,3.3,4.0,4.0,0.0,0.0,0.0,0.0,1.0,8000.0,29469.0
151,3.3,4.0,4.0,0.0,0.0,0.0,0.0,1.0,6000.0,30029.0
152,3.0,8.0,16.0,1.0,4000.0,1.0,16000.0,0.0,0.0,30327.0
153,3.4,4.0,8.0,0.0,0.0,0.0,0.0,1.0,8000.0,34980.0
154,3.6,4.0,8.0,0.0,0.0,0.0,0.0,1.0,8000.0,36000.0
156,3.8,4.0,8.0,0.0,0.0,0.0,0.0,1.0,8000.0,40538.0
157,3.8,4.0,8.0,0.0,0.0,0.0,0.0,1.0,8000.0,42899.0
158,4.0,4.0,8.0,0.0,0.0,0.0,0.0,1.0,8000.0,49000.0
159,2.1,8.0,16.0,0.0,0.0,1.0,11000.0,0.0,0.0,53490.0
160,2.6,4.0,8.0,0.0,0.0,1.0,8250.0,0.0,0.0,59949.0
161,4.0,4.0,8.0,0.0,0.0,1.0,8250.0,0.0,0.0,64799.0
162,3.4,16.0,32.0,1.0,8000.0,1.0,32000.0,0.0,0.0,67000.0
164,3.5,6.0,12.0,0.0,0.0,0.0,0.0,1.0,15000.0,81477.0
165,3.6,6.0,12.0,0.0,0.0,1.0,8250.0,0.0,0.0,87371.0
166,2.1,8.0,16.0,0.0,0.0,1.0,32000.0,0.0,0.0,98779.0
167,2.4,16.0,32.0,0.0,0.0,1.0,64000.0,0.0,0.0,109999.0
168,3.6,4.0,8.0,0.0,0.0,1.0,16500.0,0.0,0.0,149890.0
169,2.0,24.0,48.0,0.0,0.0,1.0,64000.0,0.0,0.0,156639.0
170,3.0,10.0,20.0,0.0,0.0,1.0,25000.0,0.0,0.0,159800.0
171,2.0,14.0,28.0,0.0,0.0,1.0,35000.0,0.0,0.0,184799.0
172,3.3,12.0,24.0,0.0,0.0,1.0,19250.0,0.0,0.0,186999.0
173,2.2,18.0,36.0,0.0,0.0,1.0,25000.0,0.0,0.0,193480.0
174,2.4,14.0,28.0,0.0,0.0,0.0,0.0,1.0,35000.0,219999.0
177,3.0,12.0,24.0,0.0,0.0,0.0,0.0,1.0,30000.0,265979.0
178,2.1,22.0,44.0,0.0,0.0,1.0,30250.0,0.0,0.0,437690.0
179,2.2,32.0,64.0,0.0,0.0,1.0,64000.0,0.0,0.0,711259.0
180,2.7,24.0,48.0,0.0,0.0,1.0,33000.0,0.0,0.0,813999.0
181,3.8,4.0,8.0,0.0,0.0,1.0,17000.0,0.0,0.0,863478.0
183,3.0,2.0,2.0,0.0,0.0,1.0,2000.0,0.0,0.0,7040.0
184,3.2,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2000.0,7040.0
185,3.3,2.0,2.0,0.0,0.0,0.0,0.0,1.0,3000.0,8980.0
188,2.6,2.0,2.0,0.0,0.0,0.0,0.0,1.0,3000.0,9999.0
194,3.5,4.0,8.0,1.0,2000.0,1.0,16000.0,0.0,0.0,14347.0
196,3.5,8.0,8.0,1.0,8000.0,1.0,8000.0,0.0,0.0,18480.0
197,4.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,4000.0,19635.0
198,3.5,2.0,4.0,0.0,0.0,0.0,0.0,1.0,4000.0,19635.0
200,4.1,2.0,4.0,0.0,0.0,0.0,0.0,1.0,4000.0,20964.0
201,4.7,8.0,8.0,1.0,8000.0,1.0,8000.0,0.0,0.0,21384.0
202,2.8,6.0,6.0,0.0,0.0,0.0,0.0,1.0,9000.0,24300.0
203,3.8,2.0,4.0,0.0,0.0,0.0,0.0,1.0,4000.0,25417.0
204,1.7,6.0,6.0,0.0,0.0,0.0,0.0,1.0,15000.0,26462.0
205,3.5,4.0,4.0,0.0,0.0,0.0,0.0,1.0,6000.0,26480.0
207,3.4,4.0,4.0,0.0,0.0,0.0,0.0,1.0,8000.0,27719.0
