0,name,url,chip_name,chip_maker,SP,m_cap,m_bus,m_clock,bus_interface,PRICE
123,ASUS ROG-STRIX-RTX2060S-O8G-GAMING [PCIExp 8GB],https://kakaku.com/item/K0001175925/,NVIDIA GeForceRTX2060SUPER,NVIDIA,2176.0,8.0,256.0,14.0,PCIExpress3.0,57915.0
125,GIGABYTE AORUS GV-N208TAORUSX W-11GC [PCIExp 11GB],https://kakaku.com/item/K0001113734/,NVIDIA GeForceRTX2080Ti,NVIDIA,4352.0,11.0,352.0,14.14,PCIExpress3.0x16,188585.0
126,Palit Microsystems NE5103000646-1080F (GeForce GT 1030 2GB LP) [PCIExp 2GB] ドスパラWeb限定モデル,https://kakaku.com/item/K0000967476/,NVIDIA GeForceGT1030,NVIDIA,384.0,2.0,64.0,6.0,PCIExpress3.0x16,8514.0
127,Palit Microsystems NE5105T018G1-1070H (GeForce GTX1050Ti 4GB KalmX) [PCIExp 4GB] ドスパラWeb限定モデル,https://kakaku.com/item/K0000943628/,NVIDIA GeForceGTX1050Ti,NVIDIA,768.0,4.0,128.0,3.5,PCIExpressx16,16628.0
128,ELSA ELSA GeForce GTX 1650 SP GD1650-4GERSP [PCIExp 4GB],https://kakaku.com/item/K0001183314/,NVIDIA GeForceGTX1650,NVIDIA,896.0,4.0,128.0,8.0,PCIExpress3.0x16,22800.0
129,玄人志向 GF-GTX1660Ti-E6GB/DF [PCIExp 6GB],https://kakaku.com/item/K0001135568/,NVIDIA GeForceGTX1660Ti,NVIDIA,1536.0,6.0,192.0,12.0,PCIExpress3.0x16,29800.0
130,玄人志向 GALAKURO GAMING GG-GTX1660Ti-E6GB/DF [PCIExp 6GB],https://kakaku.com/item/K0001171867/,NVIDIA GeForceGTX1660Ti,NVIDIA,1536.0,6.0,192.0,12.0,PCIExpress3.0x16,31280.0
131,MSI GeForce RTX 2060 SUPER AERO ITX [PCIExp 8GB],https://kakaku.com/item/K0001176827/,NVIDIA GeForceRTX2060SUPER,NVIDIA,2176.0,8.0,256.0,14.0,PCIExpress3.0x16,46200.0
132,MSI GeForce RTX 2060 SUPER ARMOR OC [PCIExp 8GB],https://kakaku.com/item/K0001195834/,NVIDIA GeForceRTX2060SUPER,NVIDIA,2176.0,8.0,256.0,14.0,PCIExpress3.0x16,50600.0
133,ASUS DUAL-RTX2080S-8G-EVO-V2 (Dual GeForce RTX 2080 SUPER EVO V2 8GB) [PCIExp 8GB] ドスパラWeb限定モデル,https://kakaku.com/item/K0001219055/,NVIDIA GeForceRTX2080SUPER,NVIDIA,3072.0,8.0,256.0,15.5,PCIExpress3.0x16,83930.0
134,ASUS TURBO-RTX2080TI-11G [PCIExp 11GB],https://kakaku.com/item/K0001082413/,NVIDIA GeForceRTX2080Ti,NVIDIA,4352.0,11.0,352.0,14.0,PCIExpress3.0,142669.0
135,ASUS TUF-GTX1660-O6G-GAMING [PCIExp 6GB],https://kakaku.com/item/K0001140064/,NVIDIA GeForceGTX1660,NVIDIA,1408.0,6.0,192.0,8.002,PCIExpress3.0,25489.0
136,ASUS DUAL-RX5500XT-O8G-EVO [PCIExp 8GB],https://kakaku.com/item/K0001220584/,AMD RadeonRX5500XT,AMD,1408.0,8.0,128.0,14.0,PCIExpress4.0,28143.0
137,ASUS ROG-STRIX-RTX2060S-O8G-EVO-GAMING [PCIExp 8GB],https://kakaku.com/item/K0001211456/,NVIDIA GeForceRTX2060SUPER,NVIDIA,2176.0,8.0,256.0,14.0,PCIExpress3.0,59187.0
139,玄人志向 GF-GT1030-E2GB/LP/D5 [PCIExp 2GB],https://kakaku.com/item/K0001145788/,NVIDIA GeForceGT1030,NVIDIA,384.0,2.0,64.0,6.007999999999999,PCIExpress3.0x4 接続スロット：PCI-Expressx16,9022.0
140,Palit Microsystems NE62070018P2-1160A (GeForce RTX2070 Dual 8GB) [PCIExp 8GB] ドスパラWeb限定モデル,https://kakaku.com/item/K0001221117/,NVIDIA GeForceRTX2070,NVIDIA,2304.0,8.0,256.0,14.0,PCIExpress3.0x16,49940.0
141,GIGABYTE GV-N206SGAMING OC-8GC [PCIExp 8GB],https://kakaku.com/item/K0001173223/,NVIDIA GeForceRTX2060SUPER,NVIDIA,2176.0,8.0,256.0,14.0,PCIExpress3.0x16,49980.0
142,ASUS DUAL-RTX2070S-8G-EVO [PCIExp 8GB],https://kakaku.com/item/K0001187536/,NVIDIA GeForceRTX2070SUPER,NVIDIA,2560.0,8.0,256.0,14.0,PCIExpress3.0,60980.0
143,Palit Microsystems NE5T7100HD46-2087F (GeForce GT710 2GB) [PCIExp 2GB] ドスパラWeb限定モデル,https://kakaku.com/item/K0001217659/,NVIDIA GeForceGT710,NVIDIA,192.0,2.0,64.0,2.5,PCIExpress2.0x8,4580.0
144,ASUS PH-GTX1650S-O4G [PCIExp 4GB],https://kakaku.com/item/K0001214539/,NVIDIA GeForceGTX1650SUPER,NVIDIA,1280.0,4.0,128.0,12.002,PCIExpress3.0,21402.0
145,PowerColor PowerColor Red Dragon RX 5500XT 8GB GDDR6 AXRX 5500XT 8GBD6-DHR/OC [PCIExp 8GB],https://kakaku.com/item/K0001219746/,AMD RadeonRX5500XT,AMD,1408.0,8.0,128.0,14.0,PCIExpress4.0x16,27392.0
146,ELSA ELSA GeForce GTX 1660 Ti S.A.C GD1660-6GERTS [PCIExp 6GB],https://kakaku.com/item/K0001162817/,NVIDIA GeForceGTX1660Ti,NVIDIA,1536.0,6.0,192.0,12.0,PCIExpress3.0x16,35017.0
147,SAPPHIRE SAPPHIRE PULSE RADEON RX 5700 8G GDDR6 HDMI/TRIPLE DP OC W/BP (UEFI) [PCIExp 8GB],https://kakaku.com/item/K0001184413/,AMD RadeonRX5700,AMD,2304.0,8.0,256.0,14.0,PCIExpress4.0x16,41390.0
148,MSI GeForce RTX 2060 SUPER VENTUS XS J OC [PCIExp 8GB],https://kakaku.com/item/K0001207971/,NVIDIA GeForceRTX2060SUPER,NVIDIA,2176.0,8.0,256.0,14.0,PCIExpress3.0x16,49377.0
149,玄人志向 GF-GT710-E2GB/HS [PCIExp 2GB],https://kakaku.com/item/K0001173594/,NVIDIA GeForceGT710,NVIDIA,192.0,2.0,64.0,1.0,PCIExpress2.0x16,4089.0
150,ASUS GT710-SL-1GD5-BRK [PCIExp 1GB],https://kakaku.com/item/K0001006893/,NVIDIA GeForceGT710,NVIDIA,192.0,1.0,32.0,5.012,PCIExpress2.0,4125.0
152,ASUS TUF-GTX1650-O4G-GAMING [PCIExp 4GB],https://kakaku.com/item/K0001194293/,NVIDIA GeForceGTX1650,NVIDIA,896.0,4.0,128.0,8.002,PCIExpress3.0,18086.0
154,GIGABYTE AORUS GV-N206SAORUS-8GC [PCIExp 8GB],https://kakaku.com/item/K0001173222/,NVIDIA GeForceRTX2060SUPER,NVIDIA,2176.0,8.0,256.0,14.0,PCIExpress3.0x16,58800.0
155,PowerColor PowerColor Radeon VII 16GB HBM2 AXVII 16GBHBM2-3DH [PCIExp 16GB],https://kakaku.com/item/K0001128284/,AMD RadeonVII,AMD,3840.0,16.0,4096.0,1.0,PCIExpress3.0,97598.0
157,ASUS TUF-GTX1660S-O6G-GAMING [PCIExp 6GB],https://kakaku.com/item/K0001215823/,NVIDIA GeForceGTX1660SUPER,NVIDIA,1408.0,6.0,192.0,14.002,PCIExpress3.0,30602.0
158,ASRock Radeon RX 5700 XT Challenger D 8G OC [PCIExp 8GB],https://kakaku.com/item/K0001186912/,AMD RadeonRX5700XT,AMD,2560.0,8.0,256.0,14.0,PCIExpress4.0x16,47980.0
159,MSI GeForce RTX 2070 VENTUS GP [PCIExp 8GB],https://kakaku.com/item/K0001217228/,NVIDIA GeForceRTX2070,NVIDIA,2304.0,8.0,256.0,14.0,PCIExpress3.0x16,51874.0
160,MSI GeForce RTX 2070 SUPER VENTUS [PCIExp 8GB],https://kakaku.com/item/K0001220480/,NVIDIA GeForceRTX2070SUPER,NVIDIA,2560.0,8.0,256.0,14.0,PCIExpress3.0x16,59840.0
162,GIGABYTE GV-N1650IXOC-4GD [PCIExp 4GB],https://kakaku.com/item/K0001152725/,NVIDIA GeForceGTX1650,NVIDIA,896.0,4.0,128.0,8.002,PCIExpress3.0x16,17152.0
163,ZOTAC ZOTAC GAMING GeForce RTX 2060 Twin Fan ZT-T20600F-10M [PCIExp 6GB],https://kakaku.com/item/K0001120214/,NVIDIA GeForceRTX2060,NVIDIA,1920.0,6.0,192.0,14.0,PCIExpress3.0x16,39980.0
164,ELSA ELSA GeForce RTX 2070 Super ERAZOR GAMING GD2070-8GERSES [PCIExp 8GB],https://kakaku.com/item/K0001174062/,NVIDIA GeForceRTX2070SUPER,NVIDIA,2560.0,8.0,256.0,14.0,PCIExpress3.0x16,67422.0
166,MSI GeForce RTX 2080 VENTUS 8G V2 [PCIExp 8GB],https://kakaku.com/item/K0001145126/,NVIDIA GeForceRTX2080,NVIDIA,2944.0,8.0,256.0,14.0,PCIExpress3.0x16,86500.0
167,GIGABYTE GV-N208SAORUS-8GC [PCIExp 8GB],https://kakaku.com/item/K0001176801/,NVIDIA GeForceRTX2080SUPER,NVIDIA,3072.0,8.0,256.0,15.5,PCIExpress3.0x16,102290.0
168,GIGABYTE GV-N1030D5-2GL [PCIExp 2GB],https://kakaku.com/item/K0000965885/,NVIDIA GeForceGT1030,NVIDIA,384.0,2.0,64.0,6.007999999999999,PCIExpress3.0x16,9699.0
169,ZOTAC ZOTAC GAMING GeForce GTX 1660 SUPER Twin Fan ZT-T16620F-10L [PCIExp 6GB],https://kakaku.com/item/K0001206478/,NVIDIA GeForceGTX1660SUPER,NVIDIA,1408.0,6.0,192.0,14.0,PCIExpress3.0x16,28800.0
170,ASUS DUAL-RTX2060-O6G-EVO [PCIExp 6GB],https://kakaku.com/item/K0001161470/,NVIDIA GeForceRTX2060,NVIDIA,1920.0,6.0,192.0,14.0,PCIExpress3.0,43978.0
171,ZOTAC ZOTAC GAMING GeForce RTX 2060 SUPER AMP ZT-T20610D-10P [PCIExp 8GB],https://kakaku.com/item/K0001184415/,NVIDIA GeForceRTX2060SUPER,NVIDIA,2176.0,8.0,256.0,14.0,PCIExpress3.0x16,49800.0
172,MSI GeForce RTX 2070 GAMING 8G [PCIExp 8GB],https://kakaku.com/item/K0001115212/,NVIDIA GeForceRTX2070,NVIDIA,2304.0,8.0,256.0,14.0,PCIExpress3.0x16,59280.0
173,ASUS DUAL-GTX1660TI-O6G [PCIExp 6GB],https://kakaku.com/item/K0001133239/,NVIDIA GeForceGTX1660Ti,NVIDIA,1536.0,6.0,192.0,12.002,PCIExpress3.0,34980.0
174,GIGABYTE GV-N206SWF2OC-8GD [PCIExp 8GB],https://kakaku.com/item/K0001174748/,NVIDIA GeForceRTX2060SUPER,NVIDIA,2176.0,8.0,256.0,14.0,PCIExpress3.0x16,48369.0
175,SAPPHIRE SAPPHIRE NITRO+ RADEON RX 5700 XT 8G GDDR6 DUAL HDMI/DUAL DP OC (UEFI) SPECIAL EDITION [PCIExp 8GB],https://kakaku.com/item/K0001214543/,AMD RadeonRX5700XT,AMD,2560.0,8.0,256.0,14.4,PCIExpress4.0x16,65780.0
176,GIGABYTE GV-N207SGAMING OC WHITE-8GD [PCIExp 8GB],https://kakaku.com/item/K0001195781/,NVIDIA GeForceRTX2070SUPER,NVIDIA,2560.0,8.0,256.0,14.0,PCIExpress3.0x16,66800.0
177,GIGABYTE GV-N208TGAMING OC-11GC [PCIExp 11GB],https://kakaku.com/item/K0001082422/,NVIDIA GeForceRTX2080Ti,NVIDIA,4352.0,11.0,352.0,14.0,PCIExpress3.0x16,146707.0
178,ELSA ELSA GeForce GTX 1650 S.A.C GD1650-4GERS [PCIExp 4GB],https://kakaku.com/item/K0001176227/,NVIDIA GeForceGTX1650,NVIDIA,896.0,4.0,128.0,8.0,PCIExpress3.0x16,21800.0
179,ASUS ROG-STRIX-GTX1650-O4G-GAMING [PCIExp 4GB],https://kakaku.com/item/K0001156961/,NVIDIA GeForceGTX1650,NVIDIA,896.0,4.0,128.0,8.002,PCIExpress3.0,21980.0
180,ASRock Radeon RX 5500 XT Challenger D 8G OC [PCIExp 8GB],https://kakaku.com/item/K0001219744/,AMD RadeonRX5500XT,AMD,1408.0,8.0,128.0,14.0,PCIExpress4.0x8,27500.0
181,ZOTAC ZOTAC GAMING GeForce GTX 1660 Ti AMP 6GB GDDR6 ZT-T16610D-10M [PCIExp 6GB],https://kakaku.com/item/K0001138277/,NVIDIA GeForceGTX1660Ti,NVIDIA,1536.0,6.0,192.0,12.0,PCIExpress3.0x16,36406.0
182,GIGABYTE GV-R57XTGAMING OC-8GD [PCIExp 8GB],https://kakaku.com/item/K0001186002/,AMD RadeonRX5700XT,AMD,2560.0,8.0,256.0,14.0,PCIExpress4.0x16,51762.0
183,ELSA ELSA GeForce RTX 2080 Ti ERAZOR GAMING GD2080-11GERTES2 [PCIExp 11GB],https://kakaku.com/item/K0001176226/,NVIDIA GeForceRTX2080Ti,NVIDIA,4352.0,11.0,352.0,14.0,PCIExpress3.0x16,153395.0
184,PowerColor PowerColor Red Devil Radeon RX 5700 AXRX 5700 8GBD6-3DHE/OC [PCIExp 8GB],https://kakaku.com/item/K0001186028/,AMD RadeonRX5700,AMD,2304.0,8.0,256.0,14.0,PCIExpress4.0,41753.0
185,MSI Radeon RX Vega 56 Air Boost 8G OC [PCIExp 8GB],https://kakaku.com/item/K0001021880/,AMD RadeonRXVega56,AMD,3584.0,8.0,2048.0,0.8,PCIExpress3.0x16,70628.0
186,GIGABYTE GV-N2080WF3-8GC [PCIExp 8GB],https://kakaku.com/item/K0001124220/,NVIDIA GeForceRTX2080,NVIDIA,2944.0,8.0,256.0,14.0,PCIExpress3.0x16,78078.0
188,ZOTAC ZOTAC GAMING GeForce GTX 1650 OC ZT-T16500F-10L [PCIExp 4GB],https://kakaku.com/item/K0001152722/,NVIDIA GeForceGTX1650,NVIDIA,896.0,4.0,128.0,8.0,PCIExpress3.0x16,16980.0
189,ZOTAC ZOTAC GAMING GeForce GTX 1660 SUPER AMP ZT-T16620D-10M [PCIExp 6GB],https://kakaku.com/item/K0001206477/,NVIDIA GeForceGTX1660SUPER,NVIDIA,1408.0,6.0,192.0,14.0,PCIExpress3.0x16,30980.0
190,GIGABYTE GV-N166TOC-6GD [PCIExp 6GB],https://kakaku.com/item/K0001133236/,NVIDIA GeForceGTX1660Ti,NVIDIA,1536.0,6.0,192.0,12.0,PCIExpress3.0x16,34602.0
191,ASUS TUF 3-RX5700XT-O8G-GAMING [PCIExp 8GB],https://kakaku.com/item/K0001198789/,AMD RadeonRX5700XT,AMD,2560.0,8.0,256.0,14.0,PCIExpress4.0,52749.0
192,SAPPHIRE SAPPHIRE NITRO+ RADEON RX VEGA 64 DUAL HDMI/DUAL DP (UEFI) SAP-VEGA64NITROV2/11275-03-40G [PCIExp 8GB],https://kakaku.com/item/K0001140831/,AMD RadeonRXVega64,AMD,4096.0,8.0,2048.0,1.9,PCIExpress3.0x16,60414.0
193,玄人志向 GALAKURO GAMING GG-RTX2070SP-E8GB/FAVgaming [PCIExp 8GB],https://kakaku.com/item/K0001205228/,NVIDIA GeForceRTX2070SUPER,NVIDIA,2560.0,8.0,256.0,14.0,PCIExpress3.0x16,65978.0
194,玄人志向 GF-GT710-E2GB/LP/P [PCIExp 2GB],https://kakaku.com/item/K0001205036/,NVIDIA GeForceGT710,NVIDIA,192.0,2.0,64.0,1.6,PCIExpress2.0x8,4200.0
196,GIGABYTE GV-N166SGAMING OC-6GD [PCIExp 6GB],https://kakaku.com/item/K0001206482/,NVIDIA GeForceGTX1660SUPER,NVIDIA,1408.0,6.0,192.0,14.0,PCIExpress3.0x16,32980.0
197,Colorful GeForce GTX 1650 SUPER NB 4G [PCIExp 4GB],https://kakaku.com/item/K0001214304/,NVIDIA GeForceGTX1650SUPER,NVIDIA,1280.0,4.0,128.0,12.0,PCIExpress3.0x16,19990.0
198,Colorful GeForce GTX 1660 SUPER NB 6G [PCIExp 6GB],https://kakaku.com/item/K0001207428/,NVIDIA GeForceGTX1660SUPER,NVIDIA,1408.0,6.0,192.0,14.0,PCIExpress3.0x16,27800.0
199,ASUS ROG-STRIX-RX5700-O8G-GAMING [PCIExp 8GB],https://kakaku.com/item/K0001191359/,AMD RadeonRX5700,AMD,2304.0,8.0,256.0,14.0,PCIExpress4.0,48076.0
200,GIGABYTE GV-N207SGAMING OC-8GC [PCIExp 8GB],https://kakaku.com/item/K0001173221/,NVIDIA GeForceRTX2070SUPER,NVIDIA,2560.0,8.0,256.0,14.0,PCIExpress3.0x16,65480.0
201,GIGABYTE GV-N208SGAMING OC-8GC [PCIExp 8GB],https://kakaku.com/item/K0001176802/,NVIDIA GeForceRTX2080SUPER,NVIDIA,3072.0,8.0,256.0,15.5,PCIExpress3.0x16,89800.0
202,ELSA ELSA GeForce RTX 2080 Ti ST GD2080-11GERTST [PCIExp 11GB],https://kakaku.com/item/K0001152560/,NVIDIA GeForceRTX2080Ti,NVIDIA,4352.0,11.0,352.0,14.0,PCIExpress3.0x16,173857.0
203,玄人志向 RD-R5-230-E1GB/HS [PCIExp 1GB],https://kakaku.com/item/K0001130126/,AMD RadeonR5230,AMD,160.0,1.0,64.0,1.334,PCIExpress2.1x16,3480.0
204,GIGABYTE GV-N1030SL-2GL [PCIExp 2GB],https://kakaku.com/item/K0001002215/,NVIDIA GeForceGT1030,NVIDIA,384.0,2.0,64.0,6.007999999999999,PCIExpress3.0x16,10492.0
205,GIGABYTE GV-N165SOC-4GD [PCIExp 4GB],https://kakaku.com/item/K0001218166/,NVIDIA GeForceGTX1650SUPER,NVIDIA,1280.0,4.0,128.0,12.0,PCIExpress3.0x16,21626.0
206,玄人志向 RD-RX590-E8GB/OC/DF [PCIExp 8GB],https://kakaku.com/item/K0001133708/,AMD RadeonRX590,AMD,2304.0,8.0,256.0,8.0,PCIExpress3.0x16,23066.0
207,GIGABYTE GV-N165SWF2OC-4GD [PCIExp 4GB],https://kakaku.com/item/K0001214540/,NVIDIA GeForceGTX1650SUPER,NVIDIA,1280.0,4.0,128.0,12.0,PCIExpress3.0x16,24177.0
208,SAPPHIRE SAPPHIRE NITRO+ RADEON RX 580 8G GDDR5 OC SA-RX580-8GD5N+001V2/11265-01-20G [PCIExp 8GB],https://kakaku.com/item/K0001122412/,AMD RadeonRX580,AMD,2304.0,8.0,256.0,8.0,PCIExpress3.0x16,24138.0
209,SAPPHIRE SAPPHIRE PULSE RADEON RX 5500 XT 4G GDDR6 HDMI/TRIPLE DP OC W/BP (UEFI) [PCIExp 4GB],https://kakaku.com/item/K0001220538/,AMD RadeonRX5500XT,AMD,1408.0,4.0,128.0,14.0,PCIExpress4.0x8 接続スロット：PCIExpressx16,25069.0
210,ASUS DUAL-RX580-O8G [PCIExp 8GB],https://kakaku.com/item/K0000977924/,AMD RadeonRX580,AMD,2304.0,8.0,256.0,8.0,PCIExpress3.0x16,26760.0
211,ELSA ELSA GeForce GTX 1660 Super S.A.C GD1660-6GERSS [PCIExp 6GB],https://kakaku.com/item/K0001217227/,NVIDIA GeForceGTX1660SUPER,NVIDIA,1408.0,6.0,192.0,14.0,PCIExpress3.0x16,34595.0
212,玄人志向 GALAKURO GK-GTX1660Ti-E6GB/MINI [PCIExp 6GB],https://kakaku.com/item/K0001145789/,NVIDIA GeForceGTX1660Ti,NVIDIA,1536.0,6.0,192.0,12.0,PCIExpress3.0x16,35935.0
213,GIGABYTE GV-N2060OC-6GD [PCIExp 6GB],https://kakaku.com/item/K0001120840/,NVIDIA GeForceRTX2060,NVIDIA,1920.0,6.0,192.0,14.0,PCIExpress3.0x16,38478.0
214,ASUS ROG-STRIX-RXVEGA56-O8G-GAMING [PCIExp 8GB],https://kakaku.com/item/K0001026807/,AMD RadeonRXVega56,AMD,3584.0,8.0,2048.0,0.8,PCIExpress3.0,40311.0
215,ASUS TURBO-RTX2060S-8G-EVO [PCIExp 8GB],https://kakaku.com/item/K0001191899/,NVIDIA GeForceRTX2060SUPER,NVIDIA,2176.0,8.0,256.0,14.0,PCIExpress3.0,48980.0
216,ELSA ELSA GeForce RTX 2060 Super S.A.C GD2060-8GERSS [PCIExp 8GB],https://kakaku.com/item/K0001174061/,NVIDIA GeForceRTX2060SUPER,NVIDIA,2176.0,8.0,256.0,14.0,PCIExpress3.0x16,54668.0
217,ASUS RX5700XT-8G [PCIExp 8GB],https://kakaku.com/item/K0001174637/,AMD RadeonRX5700XT,AMD,2560.0,8.0,256.0,14.0,PCIExpress4.0,54778.0
218,ZOTAC ZOTAC GAMING GeForce RTX 2070 SUPER AMP ZT-T20710D-10P [PCIExp 8GB],https://kakaku.com/item/K0001178061/,NVIDIA GeForceRTX2070SUPER,NVIDIA,2560.0,8.0,256.0,14.0,PCIExpress3.0,61578.0
219,ZOTAC ZOTAC GAMING GeForce RTX 2080 Ti AMP Extreme ZT-T20810B-10P [PCIExp 11GB],https://kakaku.com/item/K0001135566/,NVIDIA GeForceRTX2080Ti,NVIDIA,4352.0,11.0,352.0,14.4,PCIExpress3.0x16,180873.0
222,ASRock Phantom Gaming Radeon RX560 4G [PCIExp 4GB],https://kakaku.com/item/K0001112484/,AMD RadeonRX560(14ユニット),AMD,896.0,4.0,128.0,7.0,PCIExpress3.0x8 接続スロット：PCI-Expressx16,14278.0
224,SAPPHIRE SAPPHIRE PULSE RADEON RX 5500 XT 8G GDDR6 HDMI/TRIPLE DP OC W/BP (UEFI) [PCIExp 8GB],https://kakaku.com/item/K0001220537/,AMD RadeonRX5500XT,AMD,1408.0,8.0,128.0,14.0,PCIExpress4.0x8 接続スロット：PCIExpressx16,29745.0
225,玄人志向 RD-RX5700XT-E8GB/RPR [PCIExp 8GB],https://kakaku.com/item/K0001202265/,AMD RadeonRX5700XT,AMD,2560.0,8.0,256.0,14.0,PCIExpress4.0x16,47498.0
226,ASRock ASRock Radeon RX 5700 XT 8G [PCIExp 8GB],https://kakaku.com/item/K0001172579/,AMD RadeonRX5700XT,AMD,2560.0,8.0,256.0,14.0,PCIExpress4.0x16,54348.0
227,PowerColor PowerColor Red Devil Radeon RX 5700 XT AXRX 5700XT 8GBD6-3DHE/OC [PCIExp 8GB],https://kakaku.com/item/K0001186027/,AMD RadeonRX5700XT,AMD,2560.0,8.0,256.0,14.0,PCIExpress4.0,55679.0
228,Colorful GeForce RTX 2070 SUPER 8G [PCIExp 8GB],https://kakaku.com/item/K0001184410/,NVIDIA GeForceRTX2070SUPER,NVIDIA,2560.0,8.0,256.0,14.0,PCIExpress3.0x16,58800.0
229,ASUS TURBO-RTX2070S-8G-EVO [PCIExp 8GB],https://kakaku.com/item/K0001181725/,NVIDIA GeForceRTX2070SUPER,NVIDIA,2560.0,8.0,256.0,14.0,PCIExpress3.0,63800.0
230,Palit Microsystems NE6207SH20P2-1040G (GeForce RTX2070 SUPER GRP 8GB) [PCIExp 8GB] ドスパラWeb限定モデル,https://kakaku.com/item/K0001173641/,NVIDIA GeForceRTX2070SUPER,NVIDIA,2560.0,8.0,256.0,14.0,PCIExpress3.0x16,65980.0
231,ZOTAC ZOTAC GAMING GeForce RTX 2080 AMP Extreme ZT-T20800B-10P [PCIExp 8GB],https://kakaku.com/item/K0001119514/,NVIDIA GeForceRTX2080,NVIDIA,2944.0,8.0,256.0,14.4,PCIExpress3.0,79444.0
233,ASUS DUAL-RTX2080TI-O11G [PCIExp 11GB],https://kakaku.com/item/K0001082412/,NVIDIA GeForceRTX2080Ti,NVIDIA,4352.0,11.0,352.0,14.0,PCIExpress3.0,145618.0
237,ASUS CERBERUS-GTX1070TI-A8G [PCIExp 8GB],https://kakaku.com/item/K0001020032/,NVIDIA GeForceGTX1070Ti,NVIDIA,2432.0,8.0,256.0,8.008,PCIExpress3.0,68653.0
239,玄人志向 GALAKURO GK-RTX2080Ti-HOF 10th AE [PCIExp 11GB],https://kakaku.com/item/K0001181264/,NVIDIA GeForceRTX2080Ti,NVIDIA,4352.0,11.0,352.0,14.0,PCIExpress3.0x16,198000.0
240,玄人志向 GF-GTX1050Ti-4GB/OC/LP [PCIExp 4GB],https://kakaku.com/item/K0000938878/,NVIDIA GeForceGTX1050Ti,NVIDIA,768.0,4.0,128.0,7.007999999999999,PCIExpress3.0x16,13980.0
244,玄人志向 GF-GTX1060-E6GB/GD5X [PCIExp 6GB],https://kakaku.com/item/K0001114650/,NVIDIA GeForceGTX1060,NVIDIA,1280.0,6.0,192.0,8.008,PCIExpress3.0x16,27478.0
245,MSI MSI Radeon RX 5700 8G [PCIExp 8GB],https://kakaku.com/item/K0001172584/,AMD RadeonRX5700,AMD,2304.0,8.0,256.0,14.0,PCIExpress4.0x16,39700.0
246,ASRock Phantom Gaming X Radeon RX VEGA 56 8G [PCIExp 8GB],https://kakaku.com/item/K0001083605/,AMD RadeonRXVega56,AMD,3584.0,8.0,2048.0,0.8,PCIExpress3.0x16,40537.0
247,SAPPHIRE SAPPHIRE PULSE RADEON RX 5700 XT 8G GDDR6 HDMI/TRIPLE DP OC W/BP (UEFI) [PCIExp 8GB],https://kakaku.com/item/K0001184412/,AMD RadeonRX5700XT,AMD,2560.0,8.0,256.0,14.0,PCIExpress4.0x16,50303.0
249,ASUS TURBO-RTX2080S-8G-EVO [PCIExp 8GB],https://kakaku.com/item/K0001211455/,NVIDIA GeForceRTX2080SUPER,NVIDIA,3072.0,8.0,256.0,15.5,PCIExpress3.0,93246.0
250,GIGABYTE GV-N208SGAMINGOC WB-8GD [PCIExp 8GB],https://kakaku.com/item/K0001218165/,NVIDIA GeForceRTX2080SUPER,NVIDIA,3072.0,8.0,256.0,15.5,PCIExpress3.0x16,98880.0
252,ZOTAC ZOTAC GAMING GeForce RTX 2080 Ti ArcticStorm ZT-T20810K-30P [PCIExp 11GB],https://kakaku.com/item/K0001144020/,NVIDIA GeForceRTX2080Ti,NVIDIA,4352.0,11.0,352.0,14.0,PCIExpress3.0x16,204614.0
254,MSI N730K-2GD5LP/OCV1 [PCIExp 2GB],https://kakaku.com/item/K0000943365/,NVIDIA GeForceGT730(64-bitGDDR5),NVIDIA,384.0,2.0,64.0,5.0,PCIExpress2.0,6094.0
257,GIGABYTE GV-N1660GAMING OC-6GD [PCIExp 6GB],https://kakaku.com/item/K0001140143/,NVIDIA GeForceGTX1660,NVIDIA,1408.0,6.0,192.0,8.002,PCIExpress3.0x16,27413.0
258,GIGABYTE GV-R55XTOC-8GD [PCIExp 8GB],https://kakaku.com/item/K0001219743/,AMD RadeonRX5500XT,AMD,1408.0,8.0,128.0,14.0,PCIExpress4.0x16,29920.0
259,GIGABYTE GV-N166SIXOC-6GD [PCIExp 6GB],https://kakaku.com/item/K0001218163/,NVIDIA GeForceGTX1660SUPER,NVIDIA,1408.0,6.0,192.0,14.0,PCIExpress3.0x16,31680.0
260,ASUS TURBO-RTX2060-6G [PCIExp 6GB],https://kakaku.com/item/K0001124219/,NVIDIA GeForceRTX2060,NVIDIA,1920.0,6.0,192.0,14.0,PCIExpress,42799.0
261,PowerColor PowerColor Red Dragon Radeon RX 5700 AXRX 5700 8GBD6-3DHR/OC [PCIExp 8GB],https://kakaku.com/item/K0001201224/,AMD RadeonRX5700,AMD,2304.0,8.0,256.0,14.0,PCIExpress4.0x16,45800.0
262,MSI GeForce RTX 2070 AERO ITX 8G [PCIExp 8GB],https://kakaku.com/item/K0001117125/,NVIDIA GeForceRTX2070,NVIDIA,2304.0,8.0,256.0,14.0,PCIExpress3.0x16,51400.0
263,PowerColor PowerColor Liquid Devil Radeon RX 5700 XT AXRX 5700XT 8GBD6-WDH/OC [PCIExp 8GB],https://kakaku.com/item/K0001215312/,AMD RadeonRX5700XT,AMD,2560.0,8.0,256.0,14.0,PCIExpress4.0,81378.0
