,hdd_ssd,rpm0/read1,cache0/write1,PRICE
53,0,7200.0,256000.0,33006.0
54,0,7200.0,16000.0,3264.0
55,0,7200.0,128000.0,9880.0
56,0,7200.0,256000.0,21610.0
57,0,7200.0,32000.0,4799.0
58,0,7200.0,2000.0,5980.0
59,0,7200.0,128000.0,15239.0
60,0,7200.0,512000.0,66578.0
61,0,7200.0,64000.0,10208.0
62,0,5400.0,64000.0,23980.0
63,0,7200.0,256000.0,38055.0
64,0,7200.0,256000.0,54000.0
65,0,7200.0,256000.0,21349.0
66,0,7200.0,256000.0,22880.0
67,0,7200.0,256000.0,31801.0
68,0,7200.0,256000.0,50780.0
69,0,7200.0,512000.0,70706.0
70,0,7200.0,2000.0,3950.0
71,0,5400.0,64000.0,9900.0
72,0,7200.0,64000.0,14938.0
73,0,7200.0,128000.0,19980.0
74,0,7200.0,256000.0,20600.0
75,0,7200.0,256000.0,29778.0
76,0,7200.0,256000.0,49000.0
77,0,7200.0,256000.0,33580.0
78,0,7200.0,256000.0,41200.0
79,0,7200.0,64000.0,14441.0
80,0,7200.0,256000.0,29480.0
81,0,7200.0,256000.0,34800.0
82,0,7200.0,256000.0,38045.0
83,0,7200.0,256000.0,49700.0
84,0,7200.0,256000.0,53000.0
85,0,7200.0,256000.0,59675.0
86,0,7200.0,256000.0,63574.0
87,0,7200.0,256000.0,69739.0
88,0,7200.0,64000.0,4846.0
89,0,5400.0,64000.0,5929.0
90,0,7200.0,128000.0,10361.0
91,0,7200.0,128000.0,13033.0
92,0,7200.0,256000.0,40499.0
93,0,7200.0,256000.0,45244.0
94,0,7200.0,512000.0,72800.0
95,0,7200.0,64000.0,8860.0
96,0,5700.0,32000.0,8900.0
97,0,7200.0,64000.0,9008.0
98,0,5900.0,64000.0,9494.0
99,0,7200.0,128000.0,9628.0
100,0,7200.0,128000.0,13420.0
101,0,7200.0,128000.0,23100.0
102,0,7200.0,128000.0,32565.0
103,0,7200.0,256000.0,34580.0
104,0,7200.0,256000.0,42569.0
105,0,7200.0,256000.0,47495.0
106,0,7200.0,256000.0,48900.0
107,0,7200.0,16000.0,4154.0
108,0,5700.0,32000.0,6480.0
109,0,5400.0,64000.0,7185.0
110,0,7200.0,32000.0,7319.0
111,0,7200.0,32000.0,7417.0
112,0,5940.0,32000.0,9980.0
113,0,7200.0,64000.0,10181.0
114,0,5400.0,64000.0,18655.0
115,0,7200.0,128000.0,19600.0
116,0,7200.0,128000.0,23759.0
117,0,7200.0,256000.0,31479.0
118,0,7200.0,256000.0,32978.0
119,0,7200.0,256000.0,34429.0
120,0,7200.0,256000.0,48920.0
121,0,7200.0,256000.0,50738.0
122,0,7200.0,512000.0,55787.0
123,0,7200.0,64000.0,59160.0
124,0,7200.0,64000.0,4648.0
125,0,5900.0,64000.0,5736.0
126,0,5700.0,32000.0,5800.0
127,0,7200.0,32000.0,6322.0
128,0,7200.0,32000.0,6390.0
129,0,5400.0,64000.0,6600.0
130,0,7200.0,32000.0,6658.0
131,0,7200.0,64000.0,7952.0
132,0,5400.0,64000.0,8030.0
133,0,7200.0,64000.0,9200.0
134,0,7200.0,64000.0,10463.0
135,0,7200.0,64000.0,11070.0
136,0,5900.0,64000.0,11280.0
137,0,5400.0,64000.0,11880.0
138,0,7200.0,64000.0,12158.0
139,0,7200.0,128000.0,12480.0
140,0,5400.0,64000.0,16141.0
141,0,7200.0,128000.0,16980.0
142,0,7200.0,64000.0,17930.0
143,0,7200.0,128000.0,18329.0
144,0,7200.0,64000.0,21340.0
145,0,7200.0,256000.0,23100.0
146,0,7200.0,128000.0,24980.0
147,0,7200.0,128000.0,25270.0
148,0,7200.0,256000.0,29400.0
149,0,7200.0,256000.0,31549.0
150,0,7200.0,64000.0,31790.0
151,0,7200.0,64000.0,33440.0
152,0,5400.0,64000.0,33440.0
153,0,7200.0,256000.0,33456.0
154,0,7200.0,256000.0,34800.0
155,0,7200.0,256000.0,36710.0
156,0,7200.0,256000.0,44470.0
157,0,7200.0,256000.0,49500.0
158,0,7200.0,256000.0,50599.0
159,0,5400.0,64000.0,55440.0
160,0,7200.0,256000.0,56700.0
161,0,7200.0,256000.0,61137.0
162,0,7200.0,256000.0,85310.0
163,0,5400.0,128000.0,5280.0
164,0,5400.0,8000.0,4674.0
165,0,5400.0,128000.0,9793.0
166,0,5400.0,128000.0,8280.0
167,0,5400.0,8000.0,15645.0
168,0,5400.0,8000.0,3442.0
169,0,5400.0,128000.0,4818.0
170,0,7200.0,128000.0,6780.0
171,0,5400.0,128000.0,13800.0
172,0,5400.0,16000.0,4180.0
