,SP,m_cap,m_bus,m_clock,PRICE
59,4352.0,11000.0,352.0,14800.0,208800.0
60,2176.0,8000.0,256.0,14000.0,45980.0
61,192.0,1000.0,64.0,1000.0,3280.0
62,1920.0,6000.0,192.0,14000.0,38408.0
63,2304.0,8000.0,256.0,14000.0,39800.0
64,2560.0,8000.0,256.0,14000.0,69827.0
65,1408.0,6000.0,192.0,14000.0,28145.0
66,192.0,2000.0,64.0,1600.0,4290.0
67,1280.0,4000.0,128.0,12000.0,21171.0
68,2176.0,8000.0,256.0,14000.0,44800.0
69,4352.0,11000.0,352.0,14000.0,162799.0
70,4352.0,11000.0,352.0,14140.0,178107.0
71,192.0,1000.0,64.0,5000.0,3380.0
72,3072.0,8000.0,256.0,15500.0,85850.0
73,3072.0,8000.0,256.0,15500.0,98978.0
74,640.0,2000.0,128.0,6000.0,9570.0
75,1536.0,6000.0,192.0,12002.0,29678.0
76,2560.0,8000.0,256.0,14000.0,60478.0
77,3072.0,8000.0,256.0,15500.0,83380.0
78,2560.0,8000.0,256.0,14000.0,53502.0
79,1408.0,6000.0,192.0,14002.0,30281.0
80,2560.0,8000.0,256.0,14000.0,48378.0
81,2176.0,8000.0,256.0,14000.0,49280.0
82,2048.0,8000.0,256.0,7000.0,19059.0
83,1536.0,6000.0,192.0,12000.0,41580.0
84,1408.0,6000.0,192.0,14000.0,25980.0
85,2560.0,8000.0,256.0,15500.0,79750.0
86,1408.0,6000.0,192.0,8000.0,24728.0
87,1408.0,6000.0,192.0,14000.0,27680.0
88,2048.0,4000.0,256.0,1750.0,19032.0
89,2560.0,8000.0,256.0,14000.0,59800.0
90,1920.0,6000.0,192.0,14000.0,34800.0
91,1536.0,6000.0,192.0,12002.0,37398.0
92,896.0,4000.0,128.0,8000.0,19483.0
93,768.0,4000.0,128.0,3500.0,16628.0
94,1408.0,8000.0,128.0,14000.0,27499.0
95,2560.0,8000.0,256.0,14000.0,58800.0
96,3072.0,8000.0,256.0,15500.0,83930.0
97,1920.0,6000.0,192.0,14000.0,35979.0
98,2304.0,8000.0,256.0,14000.0,39980.0
99,2560.0,8000.0,256.0,14000.0,62189.0
100,1408.0,6000.0,192.0,8002.000000000001,25231.0
101,2560.0,8000.0,256.0,14000.0,73516.0
102,384.0,2000.0,64.0,6008.0,9022.0
103,896.0,4000.0,128.0,8000.0,23299.0
104,1408.0,8000.0,128.0,14400.0,32534.0
105,4352.0,11000.0,352.0,14140.0,188585.0
106,384.0,2000.0,64.0,6000.0,8514.0
107,384.0,2000.0,64.0,6008.0,9540.0
108,1280.0,4000.0,128.0,12000.0,21477.0
109,896.0,4000.0,128.0,8002.000000000001,20538.0
110,1408.0,6000.0,192.0,8002.000000000001,25278.0
111,2304.0,8000.0,256.0,14000.0,49940.0
112,2176.0,8000.0,256.0,14000.0,52786.0
113,3840.0,16000.0,4096.0,1000.0,97598.0
114,4352.0,11000.0,352.0,14000.0,131470.0
115,2560.0,8000.0,256.0,14000.0,46919.0
116,2176.0,8000.0,256.0,14000.0,47260.0
117,2304.0,8000.0,256.0,14000.0,50578.0
118,3072.0,8000.0,256.0,15500.0,82500.0
119,1408.0,6000.0,192.0,14000.0,28800.0
120,1920.0,6000.0,192.0,14000.0,39980.0
121,2560.0,8000.0,256.0,14000.0,58881.0
122,192.0,2000.0,64.0,1000.0,4079.0
123,192.0,2000.0,64.0,5012.0,5283.0
124,1024.0,2000.0,128.0,6000.0,9579.0
125,1408.0,6000.0,192.0,14000.0,30980.0
126,2560.0,8000.0,256.0,14000.0,47980.0
127,4352.0,11000.0,352.0,14000.0,142669.0
128,2176.0,8000.0,256.0,14000.0,59087.0
129,1408.0,4000.0,128.0,14000.0,23028.0
130,2304.0,8000.0,256.0,14000.0,39389.0
131,4352.0,11000.0,352.0,14000.0,145618.0
132,1408.0,6000.0,192.0,8000.0,25578.0
133,1408.0,8000.0,128.0,14000.0,27500.0
134,1536.0,6000.0,192.0,12000.0,29800.0
135,896.0,4000.0,128.0,8002.000000000001,22429.0
136,1280.0,4000.0,128.0,12002.0,22332.0
137,2176.0,8000.0,256.0,14000.0,49377.0
138,768.0,4000.0,128.0,3500.0,11980.0
139,1536.0,6000.0,192.0,12002.0,31020.0
140,2560.0,8000.0,256.0,14000.0,65978.0
141,4352.0,11000.0,352.0,14000.0,198000.0
142,1280.0,4000.0,128.0,12000.0,20227.0
143,1280.0,4000.0,128.0,12002.0,21402.0
144,2176.0,8000.0,256.0,14000.0,46200.0
145,2176.0,8000.0,256.0,14000.0,54668.0
146,2560.0,8000.0,256.0,14000.0,57178.0
147,2560.0,8000.0,256.0,14000.0,66800.0
148,2176.0,8000.0,256.0,14000.0,59790.0
149,3072.0,8000.0,256.0,15500.0,102290.0
150,896.0,4000.0,128.0,8002.000000000001,17152.0
151,1536.0,6000.0,192.0,12000.0,36787.0
152,2304.0,8000.0,256.0,14000.0,41753.0
153,2560.0,8000.0,256.0,14000.0,67422.0
154,192.0,2000.0,64.0,2500.0,4580.0
155,1408.0,6000.0,192.0,14002.0,30280.0
156,1408.0,6000.0,192.0,14000.0,32980.0
157,2560.0,8000.0,256.0,14000.0,51762.0
158,2560.0,8000.0,256.0,14400.0,65780.0
159,2944.0,8000.0,256.0,14400.0,79444.0
160,2560.0,8000.0,256.0,14000.0,55633.0
161,4352.0,11000.0,352.0,14000.0,152232.0
162,160.0,1000.0,64.0,1334.0,3480.0
163,896.0,4000.0,128.0,8002.000000000001,18086.0
164,1408.0,8000.0,128.0,14000.0,28143.0
165,1408.0,8000.0,128.0,14000.0,28380.0
166,1536.0,6000.0,192.0,12000.0,36406.0
167,1920.0,6000.0,192.0,14000.0,39980.0
168,2304.0,8000.0,256.0,14000.0,59280.0
169,2560.0,8000.0,256.0,14000.0,59840.0
170,4352.0,11000.0,352.0,14000.0,146707.0
171,192.0,1000.0,32.0,5012.0,4213.0
172,1280.0,4000.0,128.0,12000.0,21626.0
173,2304.0,8000.0,256.0,14000.0,49478.0
174,2176.0,8000.0,256.0,14000.0,49800.0
175,896.0,4000.0,128.0,8000.0,17578.0
176,192.0,2000.0,64.0,1600.0,4180.0
177,1280.0,4000.0,128.0,12000.0,19990.0
178,896.0,4000.0,128.0,8000.0,21800.0
179,1280.0,4000.0,128.0,12000.0,22202.0
180,1408.0,8000.0,128.0,14000.0,28078.0
181,1536.0,6000.0,192.0,12000.0,34602.0
182,2304.0,8000.0,256.0,14000.0,46650.0
183,2176.0,8000.0,256.0,14000.0,56800.0
184,2560.0,8000.0,256.0,14000.0,60980.0
185,896.0,4000.0,128.0,7000.0,14278.0
